sep=,
"Time","reducirimagen-755894457-7dth5","reducirimagen-755894457-zhvt9"
2025-04-05 19:43:16,24.5 MB,223 MB
2025-04-05 19:43:17,24.5 MB,223 MB
2025-04-05 19:43:18,24.5 MB,223 MB
2025-04-05 19:43:19,24.5 MB,223 MB
2025-04-05 19:43:20,24.5 MB,223 MB
2025-04-05 19:43:21,24.5 MB,223 MB
2025-04-05 19:43:22,24.5 MB,223 MB
2025-04-05 19:43:23,24.5 MB,223 MB
2025-04-05 19:43:24,24.5 MB,223 MB
2025-04-05 19:43:25,24.5 MB,223 MB
2025-04-05 19:43:26,24.5 MB,223 MB
2025-04-05 19:43:27,24.5 MB,223 MB
2025-04-05 19:43:28,24.5 MB,223 MB
2025-04-05 19:43:29,24.5 MB,223 MB
2025-04-05 19:43:30,24.5 MB,223 MB
2025-04-05 19:43:31,24.5 MB,223 MB
2025-04-05 19:43:32,24.5 MB,223 MB
2025-04-05 19:43:33,24.5 MB,223 MB
2025-04-05 19:43:34,24.5 MB,223 MB
2025-04-05 19:43:35,24.5 MB,223 MB
2025-04-05 19:43:36,24.5 MB,223 MB
2025-04-05 19:43:37,24.5 MB,223 MB
2025-04-05 19:43:38,24.5 MB,223 MB
2025-04-05 19:43:39,24.5 MB,223 MB
2025-04-05 19:43:40,24.5 MB,223 MB
2025-04-05 19:43:41,24.5 MB,223 MB
2025-04-05 19:43:42,24.5 MB,223 MB
2025-04-05 19:43:43,24.5 MB,223 MB
2025-04-05 19:43:44,24.5 MB,223 MB
2025-04-05 19:43:45,24.5 MB,223 MB
2025-04-05 19:43:46,24.5 MB,223 MB
2025-04-05 19:43:47,24.5 MB,223 MB
2025-04-05 19:43:48,24.5 MB,223 MB
2025-04-05 19:43:49,24.5 MB,223 MB
2025-04-05 19:43:50,24.5 MB,223 MB
2025-04-05 19:43:51,24.5 MB,223 MB
2025-04-05 19:43:52,24.5 MB,223 MB
2025-04-05 19:43:53,24.5 MB,223 MB
2025-04-05 19:43:54,24.5 MB,223 MB
2025-04-05 19:43:55,24.5 MB,221 MB
2025-04-05 19:43:56,24.5 MB,221 MB
2025-04-05 19:43:57,24.5 MB,221 MB
2025-04-05 19:43:58,24.5 MB,221 MB
2025-04-05 19:43:59,24.5 MB,221 MB
2025-04-05 19:44:00,24.5 MB,221 MB
2025-04-05 19:44:01,24.5 MB,221 MB
2025-04-05 19:44:02,24.5 MB,221 MB
2025-04-05 19:44:03,24.5 MB,221 MB
2025-04-05 19:44:04,24.5 MB,221 MB
2025-04-05 19:44:05,24.5 MB,221 MB
2025-04-05 19:44:06,24.5 MB,221 MB
2025-04-05 19:44:07,24.5 MB,221 MB
2025-04-05 19:44:08,24.5 MB,221 MB
2025-04-05 19:44:09,24.5 MB,221 MB
2025-04-05 19:44:10,24.5 MB,221 MB
2025-04-05 19:44:11,24.5 MB,221 MB
2025-04-05 19:44:12,24.5 MB,221 MB
2025-04-05 19:44:13,24.5 MB,221 MB
2025-04-05 19:44:14,24.5 MB,221 MB
2025-04-05 19:44:15,24.5 MB,221 MB
2025-04-05 19:44:16,24.5 MB,221 MB
