"Time","200","500","502","504"
2025-01-29 21:05:30,4.98,NaN,,NaN
2025-01-29 21:06:00,3.80,NaN,,NaN
2025-01-29 21:06:30,3.92,NaN,,NaN
2025-01-29 21:07:00,3.86,NaN,,NaN
2025-01-29 21:07:30,6.07,30.0,,NaN
2025-01-29 21:08:00,5.65,30.0,,NaN
2025-01-29 21:08:30,NaN,NaN,,NaN
2025-01-29 21:09:00,NaN,NaN,,NaN
2025-01-29 21:09:30,7.57,NaN,,NaN
2025-01-29 21:10:00,8.47,NaN,,NaN
2025-01-29 21:10:30,5.74,NaN,,NaN
2025-01-29 21:11:00,6.35,NaN,,NaN
2025-01-29 21:11:30,8.36,NaN,,NaN
2025-01-29 21:12:00,5.87,NaN,,NaN
2025-01-29 21:12:30,NaN,NaN,,NaN
2025-01-29 21:13:00,NaN,NaN,,NaN
2025-01-29 21:13:30,5.97,NaN,,NaN
2025-01-29 21:14:00,4.63,NaN,,NaN
2025-01-29 21:14:30,6.12,NaN,,NaN
2025-01-29 21:15:00,6.31,NaN,,NaN
2025-01-29 21:15:30,6.23,NaN,,NaN
2025-01-29 21:16:00,6.68,NaN,,NaN
2025-01-29 21:16:30,NaN,NaN,,NaN
2025-01-29 21:17:00,NaN,NaN,,NaN
2025-01-29 21:17:30,0.616,NaN,,NaN
2025-01-29 21:18:00,0.346,NaN,,NaN
2025-01-29 21:18:30,0.321,NaN,,NaN
2025-01-29 21:19:00,0.256,NaN,,NaN
2025-01-29 21:19:30,0.217,NaN,,NaN
2025-01-29 21:20:00,0.181,NaN,,NaN
2025-01-29 21:20:30,NaN,NaN,,NaN
2025-01-29 21:21:00,NaN,NaN,,NaN
2025-01-29 21:21:30,0.424,NaN,,NaN
2025-01-29 21:22:00,0.362,NaN,,NaN
2025-01-29 21:22:30,0.393,NaN,,NaN
2025-01-29 21:23:00,0.349,NaN,,NaN
2025-01-29 21:23:30,0.369,NaN,,NaN
2025-01-29 21:24:00,0.345,NaN,,NaN
2025-01-29 21:24:30,NaN,NaN,,NaN
2025-01-29 21:25:00,NaN,NaN,,NaN
2025-01-29 21:25:30,1.72,NaN,,NaN
2025-01-29 21:26:00,0.891,NaN,,NaN
2025-01-29 21:26:30,0.748,NaN,,NaN
2025-01-29 21:27:00,0.696,NaN,,NaN
2025-01-29 21:27:30,0.555,NaN,,NaN
2025-01-29 21:28:00,0.502,NaN,,NaN
2025-01-29 21:28:30,NaN,NaN,,NaN
2025-01-29 21:29:00,NaN,NaN,,NaN
2025-01-29 21:29:30,1.40,NaN,,NaN
2025-01-29 21:30:00,1.31,NaN,,NaN
2025-01-29 21:30:30,1.59,NaN,,NaN
2025-01-29 21:31:00,1.15,NaN,,NaN
2025-01-29 21:31:30,1.33,NaN,,NaN
2025-01-29 21:32:00,1.32,NaN,,NaN
2025-01-29 21:32:30,NaN,NaN,,NaN
2025-01-29 21:33:00,NaN,NaN,,NaN
2025-01-29 21:33:30,3.45,NaN,,NaN
2025-01-29 21:34:00,3.04,NaN,,NaN
2025-01-29 21:34:30,1.58,NaN,,NaN
2025-01-29 21:35:00,1.85,NaN,,NaN
2025-01-29 21:35:30,1.34,NaN,,NaN
2025-01-29 21:36:00,1.65,NaN,,NaN
2025-01-29 21:36:30,NaN,NaN,,NaN
2025-01-29 21:37:00,NaN,NaN,,NaN
2025-01-29 21:37:30,3.49,NaN,,NaN
