"Time","reducirimagen.openfaas-fn","reducirimagen.openfaas-fn","reducirimagen.openfaas-fn","reducirimagen.openfaas-fn"
2025-01-29 20:39:15,0.224,NaN,,
2025-01-29 20:39:30,0.211,NaN,,
2025-01-29 20:39:45,0.205,NaN,,
2025-01-29 20:40:00,0.186,NaN,,
2025-01-29 20:40:15,NaN,NaN,,
2025-01-29 20:40:30,NaN,NaN,,
2025-01-29 20:40:45,NaN,NaN,,
2025-01-29 20:41:00,NaN,NaN,,
2025-01-29 20:41:15,0.442,NaN,,
2025-01-29 20:41:30,0.414,NaN,,
2025-01-29 20:41:45,0.400,NaN,,
2025-01-29 20:42:00,0.415,NaN,,
2025-01-29 20:42:15,0.334,NaN,,
2025-01-29 20:42:30,0.368,NaN,,
2025-01-29 20:42:45,0.386,NaN,,
2025-01-29 20:43:00,0.342,NaN,,
2025-01-29 20:43:15,0.367,NaN,,
2025-01-29 20:43:30,0.315,NaN,,
2025-01-29 20:43:45,0.356,NaN,,
2025-01-29 20:44:00,0.352,NaN,,
2025-01-29 20:44:15,NaN,NaN,,
2025-01-29 20:44:30,NaN,NaN,,
2025-01-29 20:44:45,NaN,NaN,,
2025-01-29 20:45:00,NaN,NaN,,
2025-01-29 20:45:15,1.63,NaN,,
2025-01-29 20:45:30,2.09,NaN,,
2025-01-29 20:45:45,1.68,NaN,,
2025-01-29 20:46:00,0.847,NaN,,
2025-01-29 20:46:15,1.14,NaN,,
2025-01-29 20:46:30,0.878,NaN,,
2025-01-29 20:46:45,0.693,NaN,,
2025-01-29 20:47:00,0.817,NaN,,
2025-01-29 20:47:15,0.531,NaN,,
2025-01-29 20:47:30,0.581,NaN,,
2025-01-29 20:47:45,0.623,NaN,,
2025-01-29 20:48:00,0.501,NaN,,
2025-01-29 20:48:15,NaN,NaN,,
2025-01-29 20:48:30,NaN,NaN,,
2025-01-29 20:48:45,NaN,NaN,,
2025-01-29 20:49:00,NaN,NaN,,
2025-01-29 20:49:15,1.66,NaN,,
2025-01-29 20:49:30,1.37,NaN,,
2025-01-29 20:49:45,1.15,NaN,,
2025-01-29 20:50:00,1.24,NaN,,
2025-01-29 20:50:15,1.35,NaN,,
2025-01-29 20:50:30,1.41,NaN,,
2025-01-29 20:50:45,1.21,NaN,,
2025-01-29 20:51:00,1.43,NaN,,
2025-01-29 20:51:15,1.38,NaN,,
2025-01-29 20:51:30,1.27,NaN,,
2025-01-29 20:51:45,1.53,NaN,,
2025-01-29 20:52:00,1.37,NaN,,
2025-01-29 20:52:15,NaN,NaN,,
2025-01-29 20:52:30,NaN,NaN,,
2025-01-29 20:52:45,NaN,NaN,,
2025-01-29 20:53:00,NaN,NaN,,
2025-01-29 20:53:15,2.57,NaN,,
2025-01-29 20:53:30,6.15,NaN,,
2025-01-29 20:53:45,3.86,NaN,,
2025-01-29 20:54:00,3.65,NaN,,
2025-01-29 20:54:15,3.32,NaN,,
2025-01-29 20:54:30,4.21,NaN,,
2025-01-29 20:54:45,3.89,NaN,,
2025-01-29 20:55:00,3.74,NaN,,
2025-01-29 20:55:15,3.48,NaN,,
2025-01-29 20:55:30,3.85,NaN,,
2025-01-29 20:55:45,3.81,NaN,,
2025-01-29 20:56:00,3.66,NaN,,
2025-01-29 20:56:15,NaN,NaN,,
2025-01-29 20:56:30,NaN,NaN,,
2025-01-29 20:56:45,NaN,NaN,,
2025-01-29 20:57:00,NaN,NaN,,
2025-01-29 20:57:15,2.47,NaN,,
2025-01-29 20:57:30,4.39,NaN,,
2025-01-29 20:57:45,2.64,NaN,,
2025-01-29 20:58:00,2.85,30.0,,
2025-01-29 20:58:15,2.38,30.0,,
2025-01-29 20:58:30,2.54,30.0,,
2025-01-29 20:58:45,2.57,30.0,,
2025-01-29 20:59:00,2.49,30.0,,
2025-01-29 20:59:15,2.50,30.0,,
2025-01-29 20:59:30,2.40,30.0,,
2025-01-29 20:59:45,2.27,30.0,,
2025-01-29 21:00:00,2.22,30.0,,
2025-01-29 21:00:15,NaN,NaN,,
2025-01-29 21:00:30,NaN,NaN,,
2025-01-29 21:00:45,NaN,NaN,,
2025-01-29 21:01:00,NaN,NaN,,
2025-01-29 21:01:15,3.77,NaN,,
2025-01-29 21:01:30,4.21,NaN,,
2025-01-29 21:01:45,4.72,NaN,,
2025-01-29 21:02:00,4.57,NaN,,
2025-01-29 21:02:15,5.33,NaN,,
2025-01-29 21:02:30,4.23,NaN,,
2025-01-29 21:02:45,4.66,NaN,,
