0.066,0.063,0.040,0.059,0.045,0.078,0.028
0.061,0.070,0.093,0.067,0.000,0.024,0.079
0.094,0.065,0.062,0.043,0.000,0.023,0.099
0.071,0.093,0.066,0.000,0.068,0.052,0.105
0.064,0.042,0.062,0.018,0.089,0.096,0.100
0.087,0.000,0.075,0.063,0.061,0.080,0.069
0.082,0.024,0.057,0.067,0.066,0.083,0.078
0.018,0.064,0.065,0.064,0.067,0.100,0.074
0.020,0.062,0.043,0.068,0.085,0.102,0.026
0.060,0.060,0.000,0.061,0.065,0.107,0.031
0.073,0.071,0.019,0.069,0.045,0.000,0.081
0.059,0.062,0.060,0.065,0.000,0.056,0.076
0.063,0.064,0.072,0.062,0.021,0.024,0.070
0.060,0.072,0.060,0.000,0.000,0.079,0.080
0.073,0.048,0.065,0.000,0.020,0.081,0.074
0.069,0.000,0.059,0.069,0.065,0.073,0.077
0.074,0.019,0.058,0.071,0.070,0.074,0.049
0.000,0.069,0.061,0.065,0.073,0.067,0.000
0.021,0.064,0.070,0.070,0.072,0.080,0.000
0.064,0.074,0.000,0.062,0.070,0.073,0.077
0.065,0.072,0.000,0.070,0.073,0.000,0.076
0.066,0.068,0.061,0.074,0.071,0.000,0.080
0.076,0.076,0.067,0.059,0.000,0.082,0.085
0.065,0.059,0.062,0.000,0.000,0.073,0.070
0.064,0.022,0.060,0.000,0.042,0.075,0.080
0.074,0.000,0.063,0.061,0.065,0.087,0.053
0.048,0.049,0.064,0.058,0.060,0.081,0.000
0.000,0.065,0.059,0.062,0.070,0.074,0.054
0.000,0.068,0.065,0.062,0.058,0.050,0.074
0.062,0.068,0.017,0.060,0.067,0.000,0.072
0.070,0.062,0.000,0.072,0.057,0.027,0.076
0.081,0.070,0.020,0.067,0.065,0.071,0.077
0.065,0.082,0.061,0.071,0.025,0.075,0.070
0.071,0.050,0.061,0.000,0.000,0.069,0.076
0.070,0.000,0.068,0.000,0.043,0.082,0.050
0.073,0.000,0.064,0.069,0.061,0.075,0.000
0.045,0.064,0.061,0.069,0.062,0.076,0.000
0.000,0.063,0.067,0.076,0.066,0.050,0.075
0.038,0.071,0.064,0.065,0.074,0.000,0.080
0.066,0.064,0.063,0.062,0.088,0.025,0.071
0.069,0.068,0.000,0.071,0.065,0.079,0.079
0.069,0.071,0.000,0.068,0.060,0.078,0.078
0.062,0.077,0.065,0.047,0.000,0.081,0.081
0.074,0.045,0.066,0.000,0.000,0.082,0.077
0.064,0.000,0.059,0.000,0.040,0.069,0.000
0.079,0.000,0.066,0.060,0.071,0.079,0.026
0.020,0.063,0.080,0.065,0.059,0.052,0.074
0.000,0.069,0.062,0.074,0.076,0.000,0.075
0.057,0.062,0.060,0.073,0.064,0.050,0.075
0.067,0.066,0.059,0.064,0.067,0.071,0.076
