0.29093;
1.26114;
1.25513;
1.3594;
1.2802;
0.14305;
0.1422;
0.15315;
0.1546;
0.14897;
0.1495;
0.1646;
0.16547;
0.1569;
0.16133;
0.16287;
0.16837;
0.16617;
0.1626;
0.165;
0.16445;
0.1613;
0.14905;
0.1492;
0.15805;
0.1604;
0.15135;
0.152;
0.14865;
0.1467;
0.1487;
0.1484;
0.14475;
0.1596;
0.16177;
0.15017;
0.15017;
0.14727;
0.14507;
0.15067;
0.1545;
0.15045;
0.153;
0.15425;
0.1543;
0.14535;
0.1433;
0.1471;
0.14817;
0.14773;
0.15297;
0.1497;
0.14523;
0.1494;
0.15777;
0.157;
0.1464;
0.1444;
0.15025;
0.1472;
0.1542
