216.612,
217.7,
218.1,0
218.625,1.495555556
217.6,78.06333333
219.443,69.65888889
219.5,69.65888889
219.5,69.65888889
219.5,69.65888889
219.5,69.65888889
219.5,69.65888889
219.5,69.65888889
219.3,69.65888889
219.1,69.65888889
218.9,69.65888889
218.9,69.65888889
218.8,69.65888889
218.2,69.65888889
217.9,69.65888889
217.614,69.65888889
217.3,69.65888889
217.3,69.65888889
217.3,69.65888889
217.3,69.65888889
217.4,58.605
217.4,
217.4,
217.343,
217.3,
217.2,
217.3,
217.3,
217.2,
217.2,
217.2,
217.157,
217.1,
217.1,
217.1,
217.1,
217.1,
217.2,
217.2,
217.2,
217.1,
217,
217,
217,
217.1,
217.1,
217.1,
217.143,
217.1,
217,
217,
217,
217,
217,
217,
217,
217,
