Time;" code=""200"" pod_template_hash=""5f59dffc5""";"code=""200"" pod_template_hash=""86d89cc867""";"code=""500"" pod_template_hash=""5f59dffc5""";"code=""500"" pod_template_hash=""86d89cc867""";"code=""502"" pod_template_hash=""5f59dffc5""";"code=""502"" pod_template_hash=""86d89cc867""";"code=""504"" pod_template_hash=""5f59dffc5""";"code=""504"" pod_template_hash=""86d89cc867"""
15/10/2024 13:38;;2.36;;0;;;;
15/10/2024 13:38;;2.03;;0;;;;
15/10/2024 13:38;;3.37;;0;;;;
15/10/2024 13:39;;2.15;;0;;;;
15/10/2024 13:39;;2.27;;0;;;;
15/10/2024 13:39;;2.72;;0;;;;
15/10/2024 13:40;;4.52;;0;;;;
15/10/2024 13:40;;0;;0;;0;;
15/10/2024 13:40;;0;;0;;0;;
15/10/2024 13:41;;3.23;;0;;0;;
15/10/2024 13:41;;2.65;;0;;0;;
15/10/2024 13:41;;4.13;;0;;0;;
15/10/2024 13:41;;3.42;;0;;0;;
15/10/2024 13:42;;0;;0;;0;;
15/10/2024 13:42;;0;;0;;0;;
15/10/2024 13:42;;6.43;;30;;0;;
15/10/2024 13:42;;1.05;;0;;0;;
15/10/2024 13:43;;28.2;;0;;0;;
15/10/2024 13:43;;1.55;;0;;0;;
15/10/2024 13:43;;0.806;;0;;0;;
15/10/2024 13:43;;1.1;;0;;0;;
15/10/2024 13:44;;1.17;;0;;0;;
15/10/2024 13:44;;0.964;;0;;0;;
15/10/2024 13:44;;1.04;;0;;0;;
15/10/2024 13:44;;1.12;;0;;0;;
15/10/2024 13:45;;0.728;;0;;0;;
15/10/2024 13:45;;0.794;;305;;279;;
15/10/2024 13:45;;0.691;;0;;0;;
15/10/2024 13:45;;0.71;;0;;0;;
15/10/2024 13:46;;0.723;;0;;0;;
15/10/2024 13:46;;1.3;;0;;0;;
15/10/2024 13:46;;1.42;;0;;0;;
15/10/2024 13:46;;1.27;;0;;0;;
15/10/2024 13:47;;1.29;;0;;305;;
15/10/2024 13:47;;1.35;;0;;0;;
15/10/2024 13:47;;1.37;;0;;0;;
15/10/2024 13:47;;1.54;;0;;0;;
15/10/2024 13:48;;1.29;;0;;0;;
