Iteración, tamaño, formato, id, enviadas, recibidas
0, 1,.jpg, 2031761011, 263, 263
0, 1,.jpg, -47699982, 225, 225
0, 1,.jpg, 504854444, 229, 229
0, 1,.jpg, 1432266382, 265, 265
0, 1,.jpg, -1162282724, 237, 237
0, 1,.jpg, 1926760705, 220, 220
0, 1,.jpg, 1397663555, 233, 233
0, 1,.jpg, 1734189992, 259, 259
0, 1,.jpg, 1628460444, 247, 247
0, 1,.jpg, -564659327, 215, 215
0, 1,.jpg, 959823053, 268, 268
0, 1,.jpg, 646433073, 257, 257
0, 1,.jpg, -1675196754, 245, 245
0, 1,.jpg, -2111754912, 245, 245
0, 1,.jpg, 1661197617, 247, 247
0, 1,.jpg, -1117505796, 239, 239
0, 1,.jpg, 367144654, 252, 252
0, 1,.jpg, 1602654402, 257, 257
0, 1,.jpg, 1707979745, 279, 279
0, 1,.jpg, 1918300216, 232, 232
0, 1,.jpg, -1947036295, 258, 258
0, 1,.jpg, 771351762, 243, 243
0, 1,.jpg, 1000009472, 252, 252
0, 1,.jpg, -1909703923, 275, 275
0, 1,.jpg, 870251535, 253, 253
0, 1,.jpg, 1949022905, 227, 227
0, 1,.png, 31759265, 137, 137
0, 1,.png, -1925429767, 131, 131
0, 1,.png, 1851710698, 119, 119
0, 1,.png, 461812439, 119, 119
0, 1,.png, 1558039179, 128, 128
0, 1,.png, -864406830, 128, 128
0, 1,.png, -1516748791, 138, 138
0, 1,.png, 645118012, 117, 117
0, 1,.png, -1224449802, 144, 144
0, 1,.png, 198374106, 126, 126
0, 1,.png, -325432446, 133, 133
0, 1,.png, 2072314397, 133, 133
0, 1,.png, 521106225, 138, 138
0, 1,.png, 1722777129, 139, 139
0, 1,.png, 960810863, 133, 133
0, 1,.png, -1976930663, 126, 126
0, 1,.png, -1268908975, 128, 128
0, 1,.png, 1260985250, 126, 126
0, 1,.png, 1679375084, 131, 131
0, 1,.png, 286294935, 127, 127
0, 1,.png, -137869695, 132, 132
0, 1,.png, 42677466, 131, 131
0, 1,.png, -1128262053, 123, 123
0, 1,.png, 762967423, 137, 137
0, 1,.png, 1084923263, 134, 134
0, 1,.png, -273233249, 118, 118
0, 1,.png, 1701134268, 129, 129
0, 1,.png, -1769132247, 127, 127
0, 1,.png, 1762537869, 124, 124
0, 1,.png, 255062712, 131, 131
0, 2,.jpg, -1630156545, 150, 150
