200-OK;0;1;2;3;4;5;;500-IS;0;1;2;3;4;5;;;
20;0.4998;1.302;2.0078;2.1686;3.444;3.678;;20;0;0;0;0;0;0;;;
40;0.448;1.5;1.95;3.894;5.718;6.562;;40;0;0;0;6;6;6;;;
60;0.3774;1.105;2.082;3.754;4.416;5.614;;60;0;0;0;0;0;0;;;
80;0.3454;0.9008;2.06;3.828;4.748;6.724;;80;0;0;0;12;0;0;;;
100;0.3238;0.8714;1.708;3.942;5.076;7.378;;100;0;0;0;12;6;0;;;
120;0.277;0.875;1.69;3.874;5.136;6.978;;120;0;0;0;0;0;0;;;
140;0.2622;0.7256;1.482;3.748;6.558;6.71;;140;0;0;0;12;6;0;;;
160;0.2512;0.7064;1.4246;3.884;6.268;7.328;;160;0;0;0;18;18;0;;;
180;0.2324;0.7174;1.2246;3.74;8.024;7.214;;180;0;0;0;0;30;0;;;
200;0.1004;0.1714;1.408;1.496;3.2;2.832;;200;0;0;0;12;12;0;;;
;;;;;;;;;;;;;;;;;
20;0.4364;1.33;1.736;2.662;2.394;4.04;;20;0;0;0;0;0;0;;;
40;0.357;1.076;2.728;3.874;4.572;5.652;;40;0;0;12;0.614;12;6;;;
60;0.3556;1.276;2.888;1.254;4.76;6.368;;60;0;0;0;12.402;0;0;;;
80;0.3278;1.378;2.986;0.0986;4.374;6.5;;80;0;0;0;5.82;12;0;;;
100;0.333;1.314;2.954;7.804;3.724;6.174;;100;0;0;0;0;12;0;;;
120;0.3238;1.25;2.956;3.172;5.432;6.4;;120;0;0;0;6.678;6;0;;;
140;0.3186;1.304;2.966;1.462;5.892;6.032;;140;0;0;0;6.0892;24;0;;;
160;0.3202;1.24;3.044;5.21;5.91;6.456;;160;0;0;0;4.96;18;0;;;
180;0.327;1.264;2.784;2.176;7.43;4.05;;180;0;0;0;0.848;24;0;;;
200;;;0.36;1.994;8.656;;;200;;;0;0.81;12;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
502-BG;0;1;2;3;4;5;;504-TO;0;1;2;3;4;5;;;
20;0;0;0;0;0;0;;20;0;0;0;0;0;0;;;
40;0;0;0;0;0;0;;40;0;0;0;0;0;0;;;
60;0;0;0;0;0;0;;60;0;0;0;0;0;0;;;
80;0;0;0;0;0;0;;80;0;0;0;0;0;0;;;
100;0;0;0;0;0;0;;100;0;0;0;0;0;0;;;
120;0;0;0;0;0;0;;120;0;0;0;0;0;0;;;
140;0;0;0;0;0;0;;140;0;0;0;0;0;0;;;
160;0;0;0;0;0;0;;160;0;0;0;0;0;0;;;
180;0;0;0;0;0;0;;180;0;0;0;0;0;0;;;
200;0;0;0;0;0;0;;200;0;0;0;0;0;0;;;
;;;;;;;;;;;;;;;;;
20;0;0;0;0;122;0;;20;0;0;0;0;0;0;;;
40;0;0;0;0.764;0;0;;40;0;0;0;0;0;0;;;
60;0;0;0;0.846;0;0;;60;0;0;0;0;0;0;;;
80;0;0;0;0;0;0;;80;0;0;0;0;0;0;;;
100;0;0;0;0;0;0;;100;0;0;0;0;0;0;;;
120;0;0;0;0;0;0;;120;0;0;0;0;6;0;;;
140;0;0;0;0.416;0;0;;140;0;0;0;0;0;0;;;
160;0;0;0;0;0;0;;160;0;0;0;0;0;0;;;
180;0;0;0;0;0;0;;180;0;0;0;0;0;0;;;
200;;;0;0.842;0;;;200;;;0;0;0;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
