sep=,
"Time","reducirimagen-755894457-2dwpd","reducirimagen-755894457-2nqj2","reducirimagen-755894457-6pc9g","reducirimagen-755894457-6q5m5","reducirimagen-755894457-6xrp6","reducirimagen-755894457-798hp","reducirimagen-755894457-7xwkm","reducirimagen-755894457-8xbk5","reducirimagen-755894457-bwsr6","reducirimagen-755894457-cgd2k","reducirimagen-755894457-dvw22","reducirimagen-755894457-fs6fk","reducirimagen-755894457-fvp9d","reducirimagen-755894457-fwtfs","reducirimagen-755894457-gcgbr","reducirimagen-755894457-hlz85","reducirimagen-755894457-j29q8","reducirimagen-755894457-j8rp8","reducirimagen-755894457-jcjhb","reducirimagen-755894457-jclgd","reducirimagen-755894457-krcrr","reducirimagen-755894457-lcp7m","reducirimagen-755894457-lhss9","reducirimagen-755894457-mdpdd","reducirimagen-755894457-mwqjp","reducirimagen-755894457-ngfdz","reducirimagen-755894457-nv2rd","reducirimagen-755894457-pb55s","reducirimagen-755894457-pxsqg","reducirimagen-755894457-q6tkg","reducirimagen-755894457-qk654","reducirimagen-755894457-r4scc","reducirimagen-755894457-slz2k","reducirimagen-755894457-t8v66","reducirimagen-755894457-vd95h","reducirimagen-755894457-vnqdn","reducirimagen-755894457-vx5m8","reducirimagen-755894457-w6xnw","reducirimagen-755894457-wxhsr","reducirimagen-755894457-xpnnj","reducirimagen-755894457-zhvt9"
2025-04-15 15:31:40,0.890,,,,,,,,,,,,,,,,,,,,,,0.800,,,0.638,,,,,,,,,,,,,,,
2025-04-15 15:32:00,0.960,,,,,,,,,,,,,,,,,,,,,,0.673,,,0.766,,,,,,,,,,,,,,,0.794
2025-04-15 15:32:20,0.772,,,,,,,,,,,,,,,,,,,,,,0.786,,,0.822,,,,,,,0.786,,,,,,,,0.757
2025-04-15 15:32:40,0.565,,,,,,,,,,,,,,,,,,,,,,,,,0.894,,,,,,,0.738,,,,,,,,0.767
2025-04-15 15:33:00,0.760,,,,,,,,,,,,,,,,,,,,,,0.791,,,0.744,,,,,,,0.818,,,,,,,,0.793
2025-04-15 15:33:20,0.734,,,,,,,,,,,,,,,,,,,,,,0.673,,,0.494,,,,,,,0.760,,,,,,,,0.670
2025-04-15 15:33:40,0.798,,,,,,,,,,,,,,,,,,,,,,0.829,,,0.774,,,,,,,0.620,,,,,,,,0.541
2025-04-15 15:34:00,0.881,,,,,,,,,,,,,,,,,,,,,,0.803,,,0.613,,,,,,,,,,,,,,,0.692
2025-04-15 15:34:20,0.00717,,,,,,,,,,,,,,,,,,,,,,0.129,,,0.178,,,,,,,0.00117,,,,,,,,0.176
2025-04-15 15:36:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0186
2025-04-15 15:36:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.511
2025-04-15 15:36:40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.753
2025-04-15 15:37:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.988
2025-04-15 15:37:20,,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.732
2025-04-15 15:37:40,,1.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.772
2025-04-15 15:38:00,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.768,,,,,,,,,,,0.762
2025-04-15 15:38:20,,0.982,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.777,,,,,,,,,,,0.679
2025-04-15 15:38:40,,1.04,,,,,,,,,,,,,,,,0.793,,,,,,,,,,,,0.731,,,,,,,,,,,0.716
2025-04-15 15:39:00,,0.872,,,,,,,,,,,,,,,,1.08,,,,,,,,,,,,0.826,,,,,,,,,,,0.818
2025-04-15 15:39:20,,0.759,,,,,,,,,,,,,,,,0.816,,,,,,,,,,,,0.707,,,,,,,,,,,0.526
2025-04-15 15:39:40,,,,,,,,,,,,,,,,,0.848,0.769,,,,,,,,,,,,,,,,,,,,,,,0.881
2025-04-15 15:40:00,,0.853,,,,,,,,,,,,,,,0.965,0.590,,,,,,,,,,,,0.703,,,,,,,,,,,0.622
2025-04-15 15:40:20,,0.619,,,,,,,,,,,,,,,1.03,0.668,,,,,,,,,,,,0.755,,,,,,,,,,,0.803
2025-04-15 15:40:40,,0.554,,,,,,,,,,,,,,,0.754,0.769,,,,,,,,,,,,0.634,,,,,,,,,,,0.839
2025-04-15 15:41:00,,0.629,,,,,,,,,,,,,,,0.711,,,,,,,,,,,,,0.897,,,,,,,,,,,0.738
2025-04-15 15:41:20,,0.858,,,,,,,,,,,,,,,0.473,0.559,,,,,,,,,,,,0.769,,,,,,,,,,,
2025-04-15 15:41:40,,0.897,,,,,,,,,,,,,,,0.713,0.525,,,,,,,,,,,,,,,,,,,,,,,0.526
2025-04-15 15:42:00,,0.703,,,,,,,,,,,,,,,0.651,0.741,,,,,,,,,,,,0.848,,,,,,,,,,,0.650
2025-04-15 15:42:20,,0.412,,,,,,,,,,,,,,,0.732,0.844,,,,,,,,,,,,0.587,,,,,,,,,,,
2025-04-15 15:42:40,,0.983,,,,,,,,,,,,,,,0.687,0.860,,,,,,,,,,,,0.663,,,,,,,,,,,0.703
2025-04-15 15:43:00,,0.961,,,,,,,,,,,,,,,0.548,0.585,,,,,,,,,,,,0.468,,,,,,,,,,,0.591
2025-04-15 15:43:20,,0.878,,,,,,,,,,,,,,,0.827,,,,,,,,,,,,,0.746,,,,,,,,,,,0.689
2025-04-15 15:43:40,,,,,,,,,,,,,,,,,0.779,0.587,,,,,,,,,,,,0.927,,,,,,,,,,,0.769
2025-04-15 15:44:00,,0.810,,,,,,,,,,,,,,,0.603,0.869,,,,,,,,,,,,0.639,,,,,,,,,,,0.617
2025-04-15 15:44:20,,0.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-15 15:44:40,,,,,,,,,,,,,,,,,,0.462,,,,,,,,,,,,,,,,,,,,,,,
2025-04-15 15:45:00,,0.859,,,,,,,,,,,,,,,0.797,0.780,,,,,,,,,,,,0.666,,,,,,,,,,,0.819
2025-04-15 15:45:20,,0.891,,,,,,,,,,,,,,,0.799,0.824,,,,,,,,,,,,0.598,,,,,,,,,,,0.787
2025-04-15 15:45:40,,0.618,,,,,,,,,,,,,,,0.691,,,,,,,,,,,,,0.725,,,,,,,,,,,0.736
2025-04-15 15:46:00,,,,,,,,,,,,,,,,,0.778,0.845,,,,,,,,,,,,0.751,,,,,,,,,,,0.533
2025-04-15 15:46:20,,0.573,,,,,,,,,,,,,,,0.822,0.768,,,,,,,,,,,,0.775,,,,,,,,,,,0.668
2025-04-15 15:46:40,,0.575,,,,,,,,,,,,,,,0.847,,,,,,,,,,,,,0.767,,,,,,,,,,,0.745
2025-04-15 15:47:00,,0.659,,,,,,,,,,,,,,,0.725,,,,,,,,,,,,,0.809,,,,,,,,,,,0.553
2025-04-15 15:47:20,,0.924,,,,,,,,,,,,,,,0.816,0.540,,,,,,,,,,,,,,,,,,,,,,,0.680
2025-04-15 15:47:40,,0.615,,,,,,,,,,,,,,,0.825,0.766,,,,,,,,,,,,0.758,,,,,,,,,,,
2025-04-15 15:48:00,,0.826,,,,,,,,,,,,,,,0.669,0.846,,,,,,,,,,,,0.702,,,,,,,,,,,0.699
2025-04-15 15:48:20,,0.832,,,,,,,,,,,,,,,,0.680,,,,,,,,,,,,0.841,,,,,,,,,,,0.698
2025-04-15 15:48:40,,0.552,,,,,,,,,,,,,,,0.829,0.619,,,,,,,,,,,,,,,,,,,,,,,0.707
2025-04-15 15:49:00,,0.615,,,,,,,,,,,,,,,0.719,0.497,,,,,,,,,,,,,,,,,,,,,,,0.684
2025-04-15 15:49:20,,0.887,,,,,,,,,,,,,,,0.794,0.786,,,,,,,,,,,,0.655,,,,,,,,,,,0.800
