AWS,Google,Azure,IBM
0.136634378,0.139815185,0.131324765,0.134721539
0.138336998,0.1412465,0.132948849,0.136714218
0.138420884,0.141301851,0.133028262,0.136827707
0.135515708,0.138602862,0.130246876,0.133686782
0.136797364,0.139788409,0.131473716,0.135077637
0.144803979,0.147733264,0.139159321,0.143222672
0.136848005,0.139857144,0.131523062,0.135110494
0.137911791,0.141028455,0.132548802,0.136075841
0.130390966,0.133519876,0.125327689,0.128471196
0.13621198,0.139255869,0.130913725,0.134433347
