sep=,
"Time","200"
2025-04-06 21:39:16,NaN
2025-04-06 21:39:18,NaN
2025-04-06 21:39:20,NaN
2025-04-06 21:39:22,NaN
2025-04-06 21:39:24,NaN
2025-04-06 21:39:26,NaN
2025-04-06 21:39:28,NaN
2025-04-06 21:39:30,NaN
2025-04-06 21:39:32,NaN
2025-04-06 21:39:34,0.198
2025-04-06 21:39:36,0.695
2025-04-06 21:39:38,0.892
2025-04-06 21:39:40,1.20
2025-04-06 21:39:42,1.30
2025-04-06 21:39:44,1.22
2025-04-06 21:39:46,1.23
2025-04-06 21:39:48,1.24
2025-04-06 21:39:50,1.18
2025-04-06 21:39:52,1.16
2025-04-06 21:39:54,1.22
2025-04-06 21:39:56,1.24
2025-04-06 21:39:58,1.24
2025-04-06 21:40:00,1.19
2025-04-06 21:40:02,1.16
2025-04-06 21:40:04,1.12
2025-04-06 21:40:06,1.16
2025-04-06 21:40:08,1.23
2025-04-06 21:40:10,1.20
2025-04-06 21:40:12,1.19
2025-04-06 21:40:14,1.15
2025-04-06 21:40:16,1.14
2025-04-06 21:40:18,1.22
2025-04-06 21:40:20,1.21
2025-04-06 21:40:22,1.17
2025-04-06 21:40:24,1.21
2025-04-06 21:40:26,1.22
2025-04-06 21:40:28,1.21
2025-04-06 21:40:30,0.979
2025-04-06 21:40:32,0.724
2025-04-06 21:40:34,0.623
2025-04-06 21:40:36,0.629
2025-04-06 21:40:38,0.608
2025-04-06 21:40:40,0.607
2025-04-06 21:40:42,0.596
2025-04-06 21:40:44,0.601
2025-04-06 21:40:46,0.635
2025-04-06 21:40:48,0.597
2025-04-06 21:40:50,0.600
2025-04-06 21:40:52,0.626
2025-04-06 21:40:54,0.623
2025-04-06 21:40:56,0.638
2025-04-06 21:40:58,0.647
2025-04-06 21:41:00,0.665
2025-04-06 21:41:02,0.688
2025-04-06 21:41:04,0.643
2025-04-06 21:41:06,0.589
2025-04-06 21:41:08,0.643
2025-04-06 21:41:10,0.605
2025-04-06 21:41:12,0.504
2025-04-06 21:41:14,0.440
2025-04-06 21:41:16,0.434
2025-04-06 21:41:18,0.495
2025-04-06 21:41:20,0.481
2025-04-06 21:41:22,0.414
2025-04-06 21:41:24,0.443
2025-04-06 21:41:26,0.460
2025-04-06 21:41:28,0.445
2025-04-06 21:41:30,0.485
2025-04-06 21:41:32,0.499
2025-04-06 21:41:34,0.535
2025-04-06 21:41:36,0.512
2025-04-06 21:41:38,0.441
2025-04-06 21:41:40,0.461
2025-04-06 21:41:42,0.482
2025-04-06 21:41:44,0.466
2025-04-06 21:41:46,NaN
2025-04-06 21:41:48,NaN
2025-04-06 21:41:50,NaN
2025-04-06 21:41:52,NaN
2025-04-06 21:41:54,NaN
2025-04-06 21:41:56,NaN
2025-04-06 21:41:58,NaN
2025-04-06 21:42:00,NaN
2025-04-06 21:42:02,NaN
2025-04-06 21:42:04,NaN
2025-04-06 21:42:06,NaN
2025-04-06 21:42:08,NaN
2025-04-06 21:42:10,NaN
2025-04-06 21:42:12,NaN
2025-04-06 21:42:14,NaN
2025-04-06 21:42:16,NaN
2025-04-06 21:42:18,NaN
2025-04-06 21:42:20,NaN
2025-04-06 21:42:22,NaN
2025-04-06 21:42:24,NaN
2025-04-06 21:42:26,NaN
2025-04-06 21:42:28,NaN
2025-04-06 21:42:30,NaN
2025-04-06 21:42:32,NaN
2025-04-06 21:42:34,NaN
2025-04-06 21:42:36,NaN
2025-04-06 21:42:38,NaN
2025-04-06 21:42:40,NaN
2025-04-06 21:42:42,NaN
2025-04-06 21:42:44,NaN
2025-04-06 21:42:46,NaN
2025-04-06 21:42:48,NaN
2025-04-06 21:42:50,NaN
2025-04-06 21:42:52,NaN
2025-04-06 21:42:54,NaN
2025-04-06 21:42:56,NaN
2025-04-06 21:42:58,NaN
2025-04-06 21:43:00,NaN
2025-04-06 21:43:02,NaN
2025-04-06 21:43:04,NaN
2025-04-06 21:43:06,NaN
2025-04-06 21:43:08,NaN
2025-04-06 21:43:10,NaN
2025-04-06 21:43:12,NaN
2025-04-06 21:43:14,NaN
2025-04-06 21:43:16,NaN
2025-04-06 21:43:18,NaN
2025-04-06 21:43:20,NaN
2025-04-06 21:43:22,NaN
2025-04-06 21:43:24,NaN
2025-04-06 21:43:26,NaN
2025-04-06 21:43:28,NaN
2025-04-06 21:43:30,NaN
2025-04-06 21:43:32,NaN
2025-04-06 21:43:34,NaN
2025-04-06 21:43:36,NaN
2025-04-06 21:43:38,NaN
2025-04-06 21:43:40,NaN
2025-04-06 21:43:42,NaN
2025-04-06 21:43:44,NaN
2025-04-06 21:43:46,NaN
2025-04-06 21:43:48,NaN
2025-04-06 21:43:50,NaN
2025-04-06 21:43:52,NaN
2025-04-06 21:43:54,NaN
2025-04-06 21:43:56,NaN
2025-04-06 21:43:58,NaN
2025-04-06 21:44:00,0.181
2025-04-06 21:44:02,0.491
2025-04-06 21:44:04,0.785
2025-04-06 21:44:06,1.19
2025-04-06 21:44:08,1.31
2025-04-06 21:44:10,1.16
2025-04-06 21:44:12,1.16
2025-04-06 21:44:14,1.20
2025-04-06 21:44:16,1.20
2025-04-06 21:44:18,1.17
2025-04-06 21:44:20,1.15
2025-04-06 21:44:22,1.17
2025-04-06 21:44:24,1.16
2025-04-06 21:44:26,1.16
2025-04-06 21:44:28,1.19
2025-04-06 21:44:30,1.23
2025-04-06 21:44:32,1.21
2025-04-06 21:44:34,1.13
2025-04-06 21:44:36,1.17
2025-04-06 21:44:38,1.18
2025-04-06 21:44:40,1.21
2025-04-06 21:44:42,1.28
2025-04-06 21:44:44,1.04
2025-04-06 21:44:46,0.755
2025-04-06 21:44:48,0.647
2025-04-06 21:44:50,0.646
2025-04-06 21:44:52,0.653
2025-04-06 21:44:54,0.752
2025-04-06 21:44:56,0.696
2025-04-06 21:44:58,0.629
2025-04-06 21:45:00,0.677
2025-04-06 21:45:02,0.653
2025-04-06 21:45:04,0.644
2025-04-06 21:45:06,0.608
2025-04-06 21:45:08,0.582
2025-04-06 21:45:10,0.646
2025-04-06 21:45:12,0.662
2025-04-06 21:45:14,0.609
2025-04-06 21:45:16,0.584
2025-04-06 21:45:18,0.651
2025-04-06 21:45:20,0.738
2025-04-06 21:45:22,0.703
2025-04-06 21:45:24,0.645
2025-04-06 21:45:26,0.568
2025-04-06 21:45:28,0.493
2025-04-06 21:45:30,0.485
2025-04-06 21:45:32,0.504
2025-04-06 21:45:34,0.491
2025-04-06 21:45:36,0.467
2025-04-06 21:45:38,0.467
2025-04-06 21:45:40,0.502
2025-04-06 21:45:42,0.501
2025-04-06 21:45:44,0.488
2025-04-06 21:45:46,0.485
2025-04-06 21:45:48,0.451
2025-04-06 21:45:50,0.436
2025-04-06 21:45:52,0.435
2025-04-06 21:45:54,0.491
2025-04-06 21:45:56,0.532
2025-04-06 21:45:58,0.527
2025-04-06 21:46:00,0.563
2025-04-06 21:46:02,NaN
2025-04-06 21:46:04,NaN
2025-04-06 21:46:06,NaN
2025-04-06 21:46:08,NaN
2025-04-06 21:46:10,NaN
2025-04-06 21:46:12,NaN
2025-04-06 21:46:14,NaN
2025-04-06 21:46:16,NaN
2025-04-06 21:46:18,NaN
2025-04-06 21:46:20,NaN
2025-04-06 21:46:22,NaN
2025-04-06 21:46:24,NaN
2025-04-06 21:46:26,NaN
2025-04-06 21:46:28,NaN
2025-04-06 21:46:30,NaN
2025-04-06 21:46:32,NaN
2025-04-06 21:46:34,NaN
2025-04-06 21:46:36,NaN
2025-04-06 21:46:38,NaN
2025-04-06 21:46:40,NaN
2025-04-06 21:46:42,NaN
2025-04-06 21:46:44,NaN
2025-04-06 21:46:46,NaN
2025-04-06 21:46:48,NaN
2025-04-06 21:46:50,NaN
2025-04-06 21:46:52,NaN
2025-04-06 21:46:54,NaN
2025-04-06 21:46:56,NaN
2025-04-06 21:46:58,NaN
2025-04-06 21:47:00,NaN
2025-04-06 21:47:02,NaN
2025-04-06 21:47:04,NaN
2025-04-06 21:47:06,NaN
2025-04-06 21:47:08,NaN
2025-04-06 21:47:10,NaN
2025-04-06 21:47:12,NaN
2025-04-06 21:47:14,NaN
2025-04-06 21:47:16,NaN
2025-04-06 21:47:18,NaN
2025-04-06 21:47:20,NaN
2025-04-06 21:47:22,NaN
2025-04-06 21:47:24,NaN
2025-04-06 21:47:26,NaN
2025-04-06 21:47:28,NaN
2025-04-06 21:47:30,NaN
2025-04-06 21:47:32,NaN
2025-04-06 21:47:34,NaN
2025-04-06 21:47:36,NaN
2025-04-06 21:47:38,NaN
2025-04-06 21:47:40,NaN
2025-04-06 21:47:42,NaN
2025-04-06 21:47:44,NaN
2025-04-06 21:47:46,NaN
2025-04-06 21:47:48,NaN
2025-04-06 21:47:50,NaN
2025-04-06 21:47:52,NaN
2025-04-06 21:47:54,NaN
2025-04-06 21:47:56,NaN
2025-04-06 21:47:58,NaN
2025-04-06 21:48:00,NaN
