sep=,
"Time","reducirimagen-755894457-62vzv","reducirimagen-755894457-69f76","reducirimagen-755894457-7k9pb","reducirimagen-755894457-8hvwt","reducirimagen-755894457-chsv9","reducirimagen-755894457-fvcl2","reducirimagen-755894457-fzdr4","reducirimagen-755894457-hxqk6","reducirimagen-755894457-qhlz9","reducirimagen-755894457-wdbtr","reducirimagen-755894457-wh8w7","reducirimagen-755894457-zhvt9"
2025-04-07 22:38:26,,,,,,,,,,,,0.00157
2025-04-07 22:38:28,,,,,,,,,,,,0.00157
2025-04-07 22:38:30,,,,,,,,,,,,0.00157
2025-04-07 22:38:32,,,,,,,,,,,,0.00112
2025-04-07 22:38:34,,,,,,,,,,,,0.00101
2025-04-07 22:38:36,,,,,,,,,,,,0.00136
2025-04-07 22:38:38,,,,,,,,,,,,0.00136
2025-04-07 22:38:40,,,,,,,,,,,,0.00136
2025-04-07 22:38:42,,,,,,,,,,,,0.00136
2025-04-07 22:38:44,,,,,,,,,,,,0.00136
2025-04-07 22:38:46,,,,,,,,,,,,0.00136
2025-04-07 22:38:48,,,,,,,,,,,,0.364
2025-04-07 22:38:50,,,,,,,,,,,,0.401
2025-04-07 22:38:52,,,,,,,,,,,,0.549
2025-04-07 22:38:54,,,,,,,,,,,,0.549
2025-04-07 22:38:56,,,,,,,,,,,,0.549
2025-04-07 22:38:58,,,,,,,,,,,,0.549
2025-04-07 22:39:00,,,,,,,,,,,,0.405
2025-04-07 22:39:02,,,,,,,,,,,,0.368
2025-04-07 22:39:04,,,,,,,,,,,,0.837
2025-04-07 22:39:06,,,,,,,,,,,,1.03
2025-04-07 22:39:08,,,,,,,,,,,,1.03
2025-04-07 22:39:10,,,,,,,,,,,,1.03
2025-04-07 22:39:12,,,,,,,,,,,,1.03
2025-04-07 22:39:14,,,,,,,,,,,,1.03
2025-04-07 22:39:16,,,,,,,,,,,,1.03
2025-04-07 22:39:22,,,,,,,,,,,,1.03
2025-04-07 22:39:24,,,,,,,,,,,,1.03
2025-04-07 22:39:26,,,,,,,,,,,,1.03
2025-04-07 22:39:28,,,,,,,,,,,,1.03
2025-04-07 22:39:30,,,,,,,,,,,,1.03
2025-04-07 22:39:32,,,,,,,,,,,,1.03
2025-04-07 22:39:34,,,,,,,,,,,,0.607
2025-04-07 22:39:36,,,,,,,,,,,,0.670
2025-04-07 22:39:38,,,,,,,,,,,,0.936
2025-04-07 22:39:40,,,,,,,,,,,,0.936
2025-04-07 22:39:42,,,,,,,,,,,,0.936
2025-04-07 22:39:44,,,,,,,,,,,,0.936
2025-04-07 22:39:46,,,,,,,,,,,,0.936
2025-04-07 22:39:48,,,,,,,,,,,,0.880
2025-04-07 22:39:50,,,,,,,,,,,0.913,0.880
2025-04-07 22:39:52,,,,,,,,,,,0.984,0.826
2025-04-07 22:39:54,,,,,,,,,,,1.05,0.826
2025-04-07 22:39:56,,,,,,,,,,,1.07,0.826
2025-04-07 22:39:58,,,,,,,,,,,1.07,0.826
2025-04-07 22:40:00,,,,,,,,,,,1.07,0.826
2025-04-07 22:40:02,,,,,,,,,,,1.07,0.737
2025-04-07 22:40:04,,,,,,,,,,,1.07,0.663
2025-04-07 22:40:06,,,,,,,,,,,0.809,0.663
2025-04-07 22:40:08,,,,,,,,,,,1.07,0.663
2025-04-07 22:40:10,,,,,,,,,,,0.843,0.663
2025-04-07 22:40:12,,,,,,,,,,,0.772,0.663
2025-04-07 22:40:14,,,,,,,,,,,0.701,0.663
2025-04-07 22:40:16,,,,,,,,,,,1.06,0.663
2025-04-07 22:40:18,,,,,,,,,,,1.06,
2025-04-07 22:40:20,,,,,,,,,,,1.05,
2025-04-07 22:40:22,,,,,,,,,,,1.05,0.754
2025-04-07 22:40:24,,,,,,,,,,,1.05,0.754
2025-04-07 22:40:26,,,,,,,,,,,1.05,0.754
2025-04-07 22:40:28,,,,,,,,,,,0.989,0.754
2025-04-07 22:40:30,,,,,,,,,,,0.602,0.754
2025-04-07 22:40:32,,,,,,,,,,,0.662,
2025-04-07 22:40:34,,,,,1.01,,,,,,0.900,
2025-04-07 22:40:36,,,,,1.04,,,,,,0.900,
2025-04-07 22:40:38,,,,,1.04,,,,,,0.900,0.722
2025-04-07 22:40:40,,,,,1.04,,,,,,0.900,0.722
2025-04-07 22:40:42,,,,,1.04,,,,,,0.881,0.722
2025-04-07 22:40:44,,,,,1.04,,,,,,0.881,0.722
2025-04-07 22:40:46,,,,,1.04,,,,,,0.865,0.722
2025-04-07 22:40:48,,,,,,,,,,,0.865,0.722
2025-04-07 22:40:50,,,,,,,,,,,0.865,0.722
2025-04-07 22:40:52,,,,,1.03,,,,,,0.922,
2025-04-07 22:40:54,,,,,1.03,,,,,,0.922,0.865
2025-04-07 22:40:56,,,,,1.03,,,,,,0.922,0.865
2025-04-07 22:40:58,,,,,1.03,,,,,,0.713,0.865
2025-04-07 22:41:00,,,,,1.03,,,,,,0.780,0.865
2025-04-07 22:41:02,,,,,1.03,,,,,,1.00,0.865
2025-04-07 22:41:04,,,,,,,,,,,0.762,0.865
2025-04-07 22:41:06,,,,,,,,,,,0.695,0.865
2025-04-07 22:41:08,,,,,0.680,,,,,,0.912,
2025-04-07 22:41:10,,,,0.329,0.680,,,,,,0.912,
2025-04-07 22:41:12,,,,0.365,0.680,,,,,,0.851,0.585
2025-04-07 22:41:14,,,,0.401,0.680,,,,,,0.851,0.585
2025-04-07 22:41:16,,,,0.543,0.680,,,,,,0.851,0.585
2025-04-07 22:41:18,,,,0.543,0.680,,,,,,0.851,0.585
2025-04-07 22:41:20,,,,0.543,0.680,,,,,,0.451,0.585
2025-04-07 22:41:22,,,,0.543,,,,,,,0.000902,0.585
2025-04-07 22:41:24,,,,0.261,0.00135,,,,,,0.00123,
2025-04-07 22:41:26,,,,0.261,0.00135,,,,,,0.00123,
2025-04-07 22:41:28,,,,0.00131,0.00135,,,,,,0.00123,0.00136
2025-04-07 22:41:30,,,,0.00131,0.00135,,,,,,0.00123,0.00136
2025-04-07 22:41:32,,,,0.00131,0.00135,,,,,,0.00136,0.00136
2025-04-07 22:41:34,,,,0.00131,0.00135,,,,,,0.00136,0.00136
2025-04-07 22:41:36,,,,0.00154,0.00135,,,,,,0.00136,0.00136
2025-04-07 22:41:38,,,,0.00154,0.00141,,,,,,0.00152,0.00136
2025-04-07 22:41:40,,,,0.00179,0.00141,,,,,,0.00152,0.00138
2025-04-07 22:41:42,,,,0.00179,0.00141,,,,,,0.00152,0.000995
2025-04-07 22:41:44,,,,0.00179,0.00141,,,,,,0.00112,0.00141
2025-04-07 22:41:46,,,,0.00179,0.00141,,,,,,0.00102,0.00141
2025-04-07 22:41:48,,,,0.00179,0.00141,,,,,,0.000914,0.00141
2025-04-07 22:41:50,,,,0.00128,0.00141,,,,,,,0.00141
2025-04-07 22:41:52,,,,0.00116,0.00141,,,,,,,0.00107
2025-04-07 22:41:54,,,,,,,0,,,,,0.000972
2025-04-07 22:41:56,,,,,,,0,,,,,0.000878
2025-04-07 22:41:58,,,,,,,0,,,,,0.00135
2025-04-07 22:42:00,,,,,,,0,,,,,0.00135
2025-04-07 22:42:02,,,,,,,0,,,,,0.00135
2025-04-07 22:42:04,,,,,,,0,,,,,0.00135
2025-04-07 22:42:06,,,,,,,0,,,,,0.00135
2025-04-07 22:42:08,,,,,,,0,,,,,0.00135
2025-04-07 22:42:18,,,,,,,,,,,,0.232
2025-04-07 22:42:20,,,,,,,,,,,,0.232
2025-04-07 22:42:22,,,,,,,,,,,,0.232
2025-04-07 22:42:24,,,,,,,,,,,,0.232
2025-04-07 22:42:26,,,,,,,,,,,,0.232
2025-04-07 22:42:32,,,,,,,,,,,,1.05
2025-04-07 22:42:34,,,,,,,,,,,,1.05
2025-04-07 22:42:36,,,,,,,,,,,,1.05
2025-04-07 22:42:38,,,,,,,,,,,,1.05
2025-04-07 22:42:40,,,,,,,,,,,,1.05
2025-04-07 22:42:42,,,,,,,,,,,,1.05
2025-04-07 22:42:44,,,,,,,,,,,,1.05
2025-04-07 22:42:46,,,,,,,,,,,,1.05
2025-04-07 22:42:48,,,,,,,,,,,,1.03
2025-04-07 22:42:50,,,,,,,,,,,,1.03
2025-04-07 22:42:52,,,,,,,,,,,,1.03
2025-04-07 22:42:54,,,,,,,,,,,,1.03
2025-04-07 22:42:56,,,,,,,,,,,,1.03
2025-04-07 22:42:58,,,,,,,,,,,,1.03
2025-04-07 22:43:00,,,,,,,,,,,,1.03
2025-04-07 22:43:02,,,,,,,,,,,,0.673
2025-04-07 22:43:04,,,,,,,,,,,,0.742
2025-04-07 22:43:06,,,,,,,,,,,,1.03
2025-04-07 22:43:08,,,,,,,,,,,,1.03
2025-04-07 22:43:10,,,,,,,,,,,,1.03
2025-04-07 22:43:12,,,,,,,,,,,,0.769
2025-04-07 22:43:14,,,,,,,,,,,,0.701
2025-04-07 22:43:16,,,,,,,,,,,,0.885
2025-04-07 22:43:18,,,,,,,,,,,,0.790
2025-04-07 22:43:20,,,,,,,,,,,,0.790
2025-04-07 22:43:22,,,,,,,,,,,,0.790
2025-04-07 22:43:24,,,,,,,,,,,,0.790
2025-04-07 22:43:26,,,,,,,,,,,,0.790
2025-04-07 22:43:28,,,,,,,,,,,,0.790
2025-04-07 22:43:30,,,,,,,,,,,,0.583
2025-04-07 22:43:32,1.07,,,,,,,,,,,0.841
2025-04-07 22:43:34,1.07,,,,,,,,,,,0.841
2025-04-07 22:43:36,1.07,,,,,,,,,,,0.841
2025-04-07 22:43:38,1.07,,,,,,,,,,,0.841
2025-04-07 22:43:40,1.07,,,,,,,,,,,0.841
2025-04-07 22:43:42,,,,,,,,,,,,0.841
2025-04-07 22:43:44,,,,,,,,,,,,0.606
2025-04-07 22:43:46,1.14,,,,,,,,,,,0.640
2025-04-07 22:43:48,1.14,,,,,,,,,,,0.640
2025-04-07 22:43:50,1.14,,,,,,,,,,,0.640
2025-04-07 22:43:52,1.14,,,,,,,,,,,0.640
2025-04-07 22:43:54,1.14,,,,,,,,,,,0.640
2025-04-07 22:43:56,1.14,,,,,,,,,,,0.640
2025-04-07 22:43:58,1.14,,,,,,,,,,,0.736
2025-04-07 22:44:00,1.09,,,,,,,,,,,0.845
2025-04-07 22:44:02,1.03,,0.544,,,,,,,,,0.845
2025-04-07 22:44:04,1.03,,0.602,,,,,,,,,0.845
2025-04-07 22:44:06,1.03,,0.661,,,,,,,,,0.845
2025-04-07 22:44:08,1.03,,0.874,,,,,,,,,0.845
2025-04-07 22:44:10,1.03,,0.874,,,,,,,,,0.845
2025-04-07 22:44:12,1.03,,0.848,,,,,,,,,0.876
2025-04-07 22:44:14,0.717,,0.848,,,,,,,,,0.876
2025-04-07 22:44:16,1.02,,0.848,,,,,,,,,0.905
2025-04-07 22:44:18,1.02,,0.848,,,,,,,,,0.905
2025-04-07 22:44:20,1.02,,0.818,,,,,,,,,0.905
2025-04-07 22:44:22,1.02,,0.647,,,,,,,,,0.905
2025-04-07 22:44:24,1.02,,0.593,,,,,,,,,0.905
2025-04-07 22:44:26,1.02,,0.538,,,,,,,,,0.905
2025-04-07 22:44:28,1.02,,0.484,,,,,,,,,
2025-04-07 22:44:30,,,0.842,,,,,,,,,
2025-04-07 22:44:32,,,0.855,,,,,,,,,0.718
2025-04-07 22:44:34,1.03,,0.855,,,,,,,,,0.718
2025-04-07 22:44:36,1.03,,0.855,,,,,,,,,0.718
2025-04-07 22:44:38,1.03,,0.855,,,,,,,,,0.718
2025-04-07 22:44:40,1.03,,0.855,,,,,,,,,0.718
2025-04-07 22:44:42,1.03,,0.502,,,,,,,,,
2025-04-07 22:44:44,1.03,,0.555,,,,,,,,,0.470
2025-04-07 22:44:46,,,0.802,,,,,,,,,0.519
2025-04-07 22:44:48,,,0.802,,,0.676,,,,,,0.743
2025-04-07 22:44:50,,,0.802,,,0.676,,,,,,0.743
2025-04-07 22:44:52,1.02,,0.802,,,0.676,,,,,,0.743
2025-04-07 22:44:54,1.02,,0.802,,,0.676,,,,,,0.743
2025-04-07 22:44:56,1.02,,0.792,,,0.676,,,,,,0.743
2025-04-07 22:44:58,1.02,,0.792,,,,,,,,,0.721
2025-04-07 22:45:00,1.02,,0.783,,,,,,,,,0.721
2025-04-07 22:45:02,1.02,,0.783,,,,,,,,,0.699
2025-04-07 22:45:04,,,0.783,,,0.840,,,,,,0.699
2025-04-07 22:45:06,,,0.783,,,0.840,,,,,,0.699
2025-04-07 22:45:08,,,0.783,,,0.840,,,,,,0.778
2025-04-07 22:45:10,0.812,,0.549,,,0.840,,,,,,0.778
2025-04-07 22:45:12,0.812,,,,,0.840,,,,,,0.778
2025-04-07 22:45:14,0.812,,,,,0.840,,,,,,0.640
2025-04-07 22:45:16,0.812,,0.808,,,0.840,,,,,,0.880
2025-04-07 22:45:18,0.812,,0.808,,,,,,,,,0.880
2025-04-07 22:45:20,0.812,,0.808,,,0.906,,,,,,0.669
2025-04-07 22:45:22,,,0.808,,,0.906,,0.799,,,,0.611
2025-04-07 22:45:24,,,0.808,,,0.906,,0.858,,,,0.552
2025-04-07 22:45:26,0.945,,0.456,,,0.906,,0.882,,,,0.493
2025-04-07 22:45:28,0.945,,0.507,,,0.906,,0.882,,,,0.709
2025-04-07 22:45:30,0.945,,0.559,,,0.906,,0.882,,,,0.709
2025-04-07 22:45:32,0.945,,0.773,,,0.906,,,,,,0.709
2025-04-07 22:45:34,0.945,,0.773,,,,,,,,,0.709
2025-04-07 22:45:36,0.945,,0.773,,,0.661,,,,,,0.709
2025-04-07 22:45:38,0.945,,0.773,,,0.661,,,,,,
2025-04-07 22:45:40,,,0.551,,,0.661,,0.537,,,,
2025-04-07 22:45:42,,,0.500,,,0.661,,0.537,,,,
2025-04-07 22:45:44,,,0.521,,,0.661,,0.537,,,,0.274
2025-04-07 22:45:46,0.356,,0.351,,,0.661,,0.537,,,,0.274
2025-04-07 22:45:48,0.356,,0.351,,,0.358,,0.537,,,,0.274
2025-04-07 22:45:50,0.356,,0.351,,,0.000908,,0.537,,,,0.274
2025-04-07 22:45:52,0.356,,0.351,,,0.00124,,,,,,0.274
2025-04-07 22:45:54,0.356,,0.351,,,0.00124,,0.00111,,,,0.274
2025-04-07 22:45:56,,,,,,0.00124,,0.00153,,,,0.274
2025-04-07 22:45:58,,,,,,0.00124,,0.00153,,,,
2025-04-07 22:46:00,,,0.00125,,,0.000927,,0.00153,,,,0.00119
2025-04-07 22:46:02,,,0.00125,,,0.000844,,0.00153,,,,0.00119
2025-04-07 22:46:04,,,0.00125,,,0.000762,,0.00153,,,,0.00119
2025-04-07 22:46:06,0.00123,,0.00125,,,0.00123,,0.00153,,,,0.00119
2025-04-07 22:46:08,0.00123,,0.00125,,,0.00123,,0.00109,,,,0.00119
2025-04-07 22:46:10,0.00123,,0.00125,,,0.00123,,0.00133,,,,0.00119
2025-04-07 22:46:12,0.00123,,0.00125,,,0.00123,,0.00133,,,,0.00119
2025-04-07 22:46:14,0.00123,,,,,0.00123,,0.00133,,,,0.00124
2025-04-07 22:46:16,,,,,,0.00123,,0.00133,,,,0.00124
2025-04-07 22:46:18,,,,,,,,0.00133,,,,0.00124
2025-04-07 22:46:20,,,,,,,,0.00133,,,,0.00124
2025-04-07 22:46:22,,,,,,,,0.00133,,,,0.00124
2025-04-07 22:46:24,,,,,,,,,,,,0.00129
2025-04-07 22:46:26,,,,,,,,,,,,0.00129
2025-04-07 22:46:28,,,,,,,,,,,,0.00129
2025-04-07 22:46:30,,,,,,,,,,,,0.00100
2025-04-07 22:46:32,,,,,,,,,,,,0.00135
2025-04-07 22:46:34,,,,,,,,,,,,0.00135
2025-04-07 22:46:36,,,,,,,,,,,,0.00102
2025-04-07 22:46:38,,,,,,,,,,,,0.000935
2025-04-07 22:46:40,,,,,,,,,,,,0.000845
2025-04-07 22:46:42,,,,,,,,,,,,0.00139
2025-04-07 22:46:44,,,,,,,,,,,,0.00141
2025-04-07 22:46:46,,,,,,,,,,,,0.00141
2025-04-07 22:46:48,,,,,,,,,,,,0.00141
2025-04-07 22:46:50,,,,,,,,,,,,0.00141
