sep=,
"Time","reducirimagen-755894457-zhvt9"
2025-04-05 18:19:00,0.00127
2025-04-05 18:19:06,0.272
2025-04-05 18:19:07,0.272
2025-04-05 18:19:08,0.272
2025-04-05 18:19:09,0.272
2025-04-05 18:19:10,0.272
2025-04-05 18:19:11,0.272
2025-04-05 18:19:12,0.272
2025-04-05 18:19:13,0.272
2025-04-05 18:19:14,0.272
2025-04-05 18:19:15,0.272
2025-04-05 18:19:16,0.272
2025-04-05 18:19:23,1.03
2025-04-05 18:19:24,1.03
2025-04-05 18:19:25,1.03
2025-04-05 18:19:26,1.03
2025-04-05 18:19:27,1.03
2025-04-05 18:19:28,1.03
2025-04-05 18:19:29,1.03
2025-04-05 18:19:30,1.03
2025-04-05 18:19:31,1.03
2025-04-05 18:19:32,1.03
2025-04-05 18:19:33,1.03
2025-04-05 18:19:34,1.03
2025-04-05 18:19:35,1.03
2025-04-05 18:19:42,1.02
2025-04-05 18:19:43,1.02
2025-04-05 18:19:44,1.02
2025-04-05 18:19:45,1.02
2025-04-05 18:19:46,1.02
2025-04-05 18:19:47,1.02
2025-04-05 18:19:48,1.02
2025-04-05 18:19:49,1.02
2025-04-05 18:19:50,1.02
2025-04-05 18:19:51,1.02
2025-04-05 18:19:52,1.02
2025-04-05 18:19:54,0.000893
2025-04-05 18:19:55,0.000941
2025-04-05 18:19:56,0.000989
2025-04-05 18:19:57,0.00104
2025-04-05 18:19:58,0.00108
2025-04-05 18:19:59,0.00143
2025-04-05 18:20:00,0.00143
2025-04-05 18:20:01,0.00143
2025-04-05 18:20:02,0.00143
2025-04-05 18:20:03,0.00143
2025-04-05 18:20:04,0.00143
2025-04-05 18:20:05,0.00143
2025-04-05 18:20:06,0.00143
2025-04-05 18:20:07,0.00107
2025-04-05 18:20:08,0.00102
2025-04-05 18:20:09,0.000974
2025-04-05 18:20:10,0.000926
2025-04-05 18:20:11,0.000879
2025-04-05 18:20:12,0.00120
2025-04-05 18:20:13,0.00120
2025-04-05 18:20:14,0.00120
2025-04-05 18:20:15,0.00120
2025-04-05 18:20:16,0.00120
2025-04-05 18:20:17,0.00120
2025-04-05 18:20:18,0.00120
2025-04-05 18:20:19,0.00120
2025-04-05 18:20:20,0.00120
2025-04-05 18:20:21,0.00120
2025-04-05 18:20:22,0.00120
2025-04-05 18:20:23,0.00120
2025-04-05 18:20:29,0.00122
2025-04-05 18:20:30,0.00122
2025-04-05 18:20:31,0.00122
2025-04-05 18:20:32,0.00122
2025-04-05 18:20:33,0.00122
2025-04-05 18:20:34,0.00122
2025-04-05 18:20:35,0.00122
2025-04-05 18:20:36,0.00122
2025-04-05 18:20:37,0.00122
2025-04-05 18:20:38,0.00122
2025-04-05 18:20:39,0.00122
2025-04-05 18:20:40,0.00122
2025-04-05 18:20:41,0.00122
2025-04-05 18:20:43,0.000892
2025-04-05 18:20:44,0.00125
2025-04-05 18:20:45,0.00125
2025-04-05 18:20:46,0.00125
2025-04-05 18:20:47,0.00125
2025-04-05 18:20:48,0.00125
2025-04-05 18:20:49,0.00125
2025-04-05 18:20:50,0.00125
2025-04-05 18:20:51,0.00125
2025-04-05 18:20:52,0.00125
2025-04-05 18:20:53,0.00125
2025-04-05 18:20:54,0.00125
2025-04-05 18:20:55,0.00125
2025-04-05 18:20:56,0.00125
2025-04-05 18:20:57,0.00125
2025-04-05 18:20:58,0.000889
2025-04-05 18:21:01,0.00124
2025-04-05 18:21:02,0.00124
2025-04-05 18:21:03,0.00124
2025-04-05 18:21:04,0.00124
2025-04-05 18:21:05,0.00124
2025-04-05 18:21:06,0.00124
2025-04-05 18:21:07,0.00124
2025-04-05 18:21:08,0.00124
2025-04-05 18:21:09,0.00124
2025-04-05 18:21:10,0.00124
2025-04-05 18:21:11,0.00124
2025-04-05 18:21:12,0.00124
2025-04-05 18:21:21,0.00129
2025-04-05 18:21:22,0.00129
2025-04-05 18:21:23,0.00129
2025-04-05 18:21:24,0.00129
2025-04-05 18:21:25,0.00129
2025-04-05 18:21:26,0.00129
2025-04-05 18:21:27,0.00129
2025-04-05 18:21:28,0.00129
2025-04-05 18:21:29,0.00129
2025-04-05 18:21:30,0.00129
2025-04-05 18:21:37,0.00119
2025-04-05 18:21:38,0.00119
2025-04-05 18:21:39,0.00119
2025-04-05 18:21:40,0.00119
2025-04-05 18:21:41,0.00119
2025-04-05 18:21:42,0.00119
2025-04-05 18:21:43,0.00119
2025-04-05 18:21:44,0.00119
2025-04-05 18:21:45,0.00119
2025-04-05 18:21:46,0.00119
2025-04-05 18:21:47,0.00119
2025-04-05 18:21:48,0.00119
2025-04-05 18:21:49,0.00119
2025-04-05 18:21:50,0.00119
2025-04-05 18:21:52,0.00147
2025-04-05 18:21:53,0.00147
2025-04-05 18:21:54,0.00147
2025-04-05 18:21:55,0.00147
2025-04-05 18:21:56,0.00147
2025-04-05 18:21:57,0.00147
2025-04-05 18:21:58,0.00147
2025-04-05 18:21:59,0.00147
2025-04-05 18:22:00,0.00147
2025-04-05 18:22:01,0.00147
2025-04-05 18:22:02,0.00147
2025-04-05 18:22:03,0.00134
2025-04-05 18:22:04,0.00134
2025-04-05 18:22:05,0.00134
2025-04-05 18:22:06,0.00134
2025-04-05 18:22:07,0.000864
2025-04-05 18:22:08,0.000903
2025-04-05 18:22:09,0.00118
2025-04-05 18:22:10,0.00118
2025-04-05 18:22:11,0.00118
2025-04-05 18:22:12,0.00118
2025-04-05 18:22:13,0.00118
2025-04-05 18:22:14,0.00118
2025-04-05 18:22:15,0.00118
2025-04-05 18:22:16,0.000896
2025-04-05 18:22:17,0.000856
2025-04-05 18:22:18,0.000817
2025-04-05 18:22:19,0.00120
2025-04-05 18:22:20,0.00120
2025-04-05 18:22:21,0.00120
2025-04-05 18:22:22,0.00122
2025-04-05 18:22:23,0.00122
2025-04-05 18:22:24,0.00122
2025-04-05 18:22:25,0.00122
2025-04-05 18:22:26,0.00122
2025-04-05 18:22:27,0.00122
2025-04-05 18:22:28,0.00122
2025-04-05 18:22:29,0.00122
2025-04-05 18:22:30,0.00122
2025-04-05 18:22:31,0.00122
2025-04-05 18:22:32,0.00122
2025-04-05 18:22:33,0.00122
2025-04-05 18:22:34,0.00122
2025-04-05 18:22:35,0.00122
2025-04-05 18:22:36,0.00122
2025-04-05 18:22:37,0.00122
2025-04-05 18:22:38,0.00122
2025-04-05 18:22:39,0.00122
2025-04-05 18:22:40,0.00122
2025-04-05 18:22:41,0.00122
2025-04-05 18:22:42,0.00122
2025-04-05 18:22:43,0.00122
2025-04-05 18:22:44,0.00122
2025-04-05 18:22:45,0.00122
2025-04-05 18:22:46,0.00122
2025-04-05 18:22:47,0.00122
2025-04-05 18:22:48,0.00122
2025-04-05 18:22:49,0.00140
2025-04-05 18:22:50,0.00140
2025-04-05 18:22:51,0.00140
2025-04-05 18:22:52,0.00140
2025-04-05 18:22:53,0.00140
2025-04-05 18:22:54,0.00140
2025-04-05 18:22:55,0.00140
2025-04-05 18:22:56,0.00140
2025-04-05 18:22:57,0.00140
2025-04-05 18:22:58,0.00140
