sep=,
"Time","reducirimagen-755894457-2gnh2","reducirimagen-755894457-5hjsq","reducirimagen-755894457-hvrg6","reducirimagen-755894457-q65rl","reducirimagen-755894457-t28nh","reducirimagen-755894457-zhvt9"
2025-04-14 21:31:15,,,,,,0.233
2025-04-14 21:31:30,,,,,,1.03
2025-04-14 21:31:45,,,,,,1.04
2025-04-14 21:32:00,,,,,,0.516
2025-04-14 21:32:15,,0.00137,,,,0.0185
2025-04-14 21:32:30,,,,,,0.0137
2025-04-14 21:32:45,,,,,,0.00866
2025-04-14 21:33:00,,,,,,0.0117
2025-04-14 21:33:15,,,,,,0.0191
2025-04-14 21:33:30,,,,,,0.0160
2025-04-14 21:33:45,,,,,,0.0114
2025-04-14 21:34:00,,,,,,0.0126
2025-04-14 21:34:15,,,,,,0.00836
2025-04-14 21:34:45,,,,,,0.00973
2025-04-14 21:35:00,,,,,,0.00702
2025-04-14 21:35:30,,,,,,0.0181
2025-04-14 21:35:45,,,,,,0.0149
2025-04-14 21:36:00,,,,,,0.00893
2025-04-14 21:36:15,,,,,,0.0221
2025-04-14 21:36:30,,,,,,0.00886
2025-04-14 21:36:45,,,,,,0.0125
2025-04-14 21:37:00,,,,,,0.0144
2025-04-14 21:37:15,,,,,,0.0138
2025-04-14 21:37:30,,,,,,0.0118
2025-04-14 21:37:45,,,,,,0.0218
2025-04-14 21:38:00,,,,,,0.0132
2025-04-14 21:38:15,,,,,,0.0140
2025-04-14 21:38:30,,,,,,0.00799
2025-04-14 21:38:45,,,,,,0.0192
2025-04-14 21:39:00,,,,,,0.0101
2025-04-14 21:39:45,,,,,,0.0177
2025-04-14 21:40:00,,,,,,0.00767
2025-04-14 21:40:15,,,,,,0.0172
2025-04-14 21:40:30,,,,,,0.0139
2025-04-14 21:40:45,,,,,,0.0123
2025-04-14 21:41:00,,,,,,0.0175
2025-04-14 21:41:15,,,,,,0.0110
2025-04-14 21:41:30,,,,,,0.0141
2025-04-14 21:41:45,,,,,,0.00916
2025-04-14 21:42:00,,,,,,0.0170
2025-04-14 21:42:15,,,,,,0.00953
2025-04-14 21:42:30,,,,,,0.0156
2025-04-14 21:42:45,,,,,,0.0127
2025-04-14 21:43:00,,,,,,0.0107
2025-04-14 21:43:15,,,,,,0.0200
2025-04-14 21:43:30,,,,,,0.00895
2025-04-14 21:43:45,,,,,,0.0173
2025-04-14 21:44:00,,,,,,0.0127
2025-04-14 21:44:15,,,,,,0.0174
2025-04-14 21:44:30,,,,,,0.0105
2025-04-14 21:44:45,,,,,,0.0191
2025-04-14 21:45:00,,,,,,0.00994
2025-04-14 21:45:15,,,,,,0.0118
2025-04-14 21:45:30,,,,,,0.0111
2025-04-14 21:45:45,,,,,,0.0161
2025-04-14 21:46:00,,,,,,0.0151
2025-04-14 21:46:15,,,,,,0.0168
2025-04-14 21:46:30,,,,,,0.0150
2025-04-14 21:46:45,,,,,,0.0109
2025-04-14 21:47:00,,,,,,0.0110
2025-04-14 21:47:30,,,,,,0.00784
2025-04-14 21:47:45,,,,,,0.00797
2025-04-14 21:48:15,,,,,,0.541
2025-04-14 21:48:30,,,,,,0.650
2025-04-14 21:48:45,,,,,,0.679
2025-04-14 21:49:00,,,,,,0.636
2025-04-14 21:49:15,,,,,,0.0142
2025-04-14 21:49:30,,,,,,0.0152
2025-04-14 21:50:00,,,,,,0.00910
2025-04-14 21:50:15,,,,,,0.00816
2025-04-14 21:50:30,,,,,,0.00709
2025-04-14 21:50:45,,,,,,0.00737
2025-04-14 21:51:15,,,,,,0.0108
2025-04-14 21:51:30,,,,,,0.0168
2025-04-14 21:51:45,,,,,,0.00841
2025-04-14 21:52:00,,,,,,0.0178
2025-04-14 21:52:15,,,,,,0.00962
2025-04-14 21:52:30,,,,,,0.0126
2025-04-14 21:52:45,,,,,,0.00952
