AWS,G,AZURE,IBM
0.002123339,0.002610488,0.008336228,0.002059416
0.001994849,0.002680385,0.008557213,0.001925545
0.002087783,0.002700485,0.008622319,0.002019503
0.002258169,0.00278189,0.008883524,0.002189958
0.00206129,0.00270551,0.008637999,0.001992281
0.002044151,0.002644708,0.008444222,0.001977271
0.002114186,0.002680436,0.008558805,0.002047243
0.00161284,0.00279586,0.008920255,0.001531287
0.002010903,0.002653753,0.008472619,0.001942998
0.002025536,0.00278508,0.008890888,0.001952591
