sep=,
"Time","reducirimagen-755894457-fnm4c","reducirimagen-755894457-zhvt9"
2025-04-05 20:02:00,,224 MB
2025-04-05 20:02:01,,224 MB
2025-04-05 20:02:02,,225 MB
2025-04-05 20:02:03,,225 MB
2025-04-05 20:02:04,,225 MB
2025-04-05 20:02:05,,225 MB
2025-04-05 20:02:06,,225 MB
2025-04-05 20:02:07,,225 MB
2025-04-05 20:02:08,,225 MB
2025-04-05 20:02:09,,225 MB
2025-04-05 20:02:10,,225 MB
2025-04-05 20:02:11,,225 MB
2025-04-05 20:02:12,,225 MB
2025-04-05 20:02:13,,226 MB
2025-04-05 20:02:14,,226 MB
2025-04-05 20:02:15,,226 MB
2025-04-05 20:02:16,,226 MB
2025-04-05 20:02:17,,226 MB
2025-04-05 20:02:18,,226 MB
2025-04-05 20:02:19,,226 MB
2025-04-05 20:02:20,,226 MB
2025-04-05 20:02:21,,226 MB
2025-04-05 20:02:22,,226 MB
2025-04-05 20:02:23,,226 MB
2025-04-05 20:02:24,,226 MB
2025-04-05 20:02:25,,226 MB
2025-04-05 20:02:26,,226 MB
2025-04-05 20:02:27,,226 MB
2025-04-05 20:02:28,,228 MB
2025-04-05 20:02:29,,228 MB
2025-04-05 20:02:30,,228 MB
2025-04-05 20:02:31,,228 MB
2025-04-05 20:02:32,,228 MB
2025-04-05 20:02:33,,228 MB
2025-04-05 20:02:34,,228 MB
2025-04-05 20:02:35,,228 MB
2025-04-05 20:02:36,,228 MB
2025-04-05 20:02:37,,228 MB
2025-04-05 20:02:38,0 B,228 MB
2025-04-05 20:02:39,0 B,228 MB
2025-04-05 20:02:40,0 B,228 MB
2025-04-05 20:02:41,0 B,228 MB
2025-04-05 20:02:42,0 B,228 MB
2025-04-05 20:02:43,0 B,228 MB
2025-04-05 20:02:44,0 B,228 MB
2025-04-05 20:02:45,0 B,228 MB
2025-04-05 20:02:46,0 B,228 MB
2025-04-05 20:02:47,0 B,228 MB
2025-04-05 20:02:48,0 B,228 MB
2025-04-05 20:02:49,0 B,228 MB
2025-04-05 20:02:50,0 B,228 MB
2025-04-05 20:02:51,0 B,228 MB
2025-04-05 20:02:52,0 B,228 MB
2025-04-05 20:02:53,0 B,228 MB
2025-04-05 20:02:54,0 B,228 MB
2025-04-05 20:02:55,0 B,228 MB
2025-04-05 20:02:56,24.4 MB,228 MB
2025-04-05 20:02:57,24.4 MB,228 MB
2025-04-05 20:02:58,24.4 MB,228 MB
2025-04-05 20:02:59,24.4 MB,228 MB
2025-04-05 20:03:00,24.4 MB,228 MB
2025-04-05 20:03:01,24.4 MB,228 MB
2025-04-05 20:03:02,24.4 MB,228 MB
2025-04-05 20:03:03,24.4 MB,228 MB
2025-04-05 20:03:04,24.4 MB,228 MB
2025-04-05 20:03:05,24.4 MB,228 MB
2025-04-05 20:03:06,24.4 MB,228 MB
2025-04-05 20:03:07,24.4 MB,228 MB
2025-04-05 20:03:08,24.4 MB,228 MB
2025-04-05 20:03:09,24.4 MB,228 MB
2025-04-05 20:03:10,24.4 MB,228 MB
2025-04-05 20:03:11,24.4 MB,228 MB
2025-04-05 20:03:12,24.4 MB,228 MB
2025-04-05 20:03:13,24.4 MB,228 MB
2025-04-05 20:03:14,24.4 MB,228 MB
2025-04-05 20:03:15,24.4 MB,228 MB
2025-04-05 20:03:16,24.4 MB,228 MB
2025-04-05 20:03:17,24.4 MB,228 MB
2025-04-05 20:03:18,24.4 MB,228 MB
2025-04-05 20:03:19,24.4 MB,228 MB
2025-04-05 20:03:20,24.4 MB,228 MB
2025-04-05 20:03:21,24.4 MB,228 MB
