sep=,
"Time","reducirimagen-755894457-rsg2g","reducirimagen-755894457-zhvt9"
2025-04-05 18:41:02,,0.0143
2025-04-05 18:41:03,,0.0143
2025-04-05 18:41:04,,0.0143
2025-04-05 18:41:05,,0.0143
2025-04-05 18:41:06,,0.0143
2025-04-05 18:41:07,,0.0143
2025-04-05 18:41:08,,0.0143
2025-04-05 18:41:09,,0.0143
2025-04-05 18:41:10,,0.0143
2025-04-05 18:41:11,,0.0143
2025-04-05 18:41:12,,0.0143
2025-04-05 18:41:13,,0.0143
2025-04-05 18:41:14,,0.0143
2025-04-05 18:41:15,,0.0143
2025-04-05 18:41:16,,0.0143
2025-04-05 18:41:20,,1.03
2025-04-05 18:41:21,,1.03
2025-04-05 18:41:22,,1.03
2025-04-05 18:41:23,,1.03
2025-04-05 18:41:24,,1.03
2025-04-05 18:41:25,,1.03
2025-04-05 18:41:26,,1.03
2025-04-05 18:41:27,,1.03
2025-04-05 18:41:28,,1.03
2025-04-05 18:41:29,,1.03
2025-04-05 18:41:30,,1.03
2025-04-05 18:41:31,,1.03
2025-04-05 18:41:35,,1.03
2025-04-05 18:41:36,,1.03
2025-04-05 18:41:37,,1.03
2025-04-05 18:41:38,,1.03
2025-04-05 18:41:39,,1.03
2025-04-05 18:41:40,,1.03
2025-04-05 18:41:41,,1.03
2025-04-05 18:41:42,,1.03
2025-04-05 18:41:43,,1.03
2025-04-05 18:41:44,,1.03
2025-04-05 18:41:45,,1.03
2025-04-05 18:41:46,,1.03
2025-04-05 18:41:47,,1.03
2025-04-05 18:41:48,,1.03
2025-04-05 18:41:49,,1.03
2025-04-05 18:41:55,,0.992
2025-04-05 18:41:56,,0.992
2025-04-05 18:41:57,,0.992
2025-04-05 18:41:58,,0.992
2025-04-05 18:41:59,,0.992
2025-04-05 18:42:00,,0.992
2025-04-05 18:42:01,,0.992
2025-04-05 18:42:02,,0.992
2025-04-05 18:42:03,,0.992
2025-04-05 18:42:04,,0.992
2025-04-05 18:42:11,,0.970
2025-04-05 18:42:12,1.08,0.970
2025-04-05 18:42:13,1.08,0.970
2025-04-05 18:42:14,1.08,0.970
2025-04-05 18:42:15,1.08,0.970
2025-04-05 18:42:16,1.08,0.970
2025-04-05 18:42:17,1.08,0.970
2025-04-05 18:42:18,1.08,0.970
2025-04-05 18:42:19,1.08,0.970
2025-04-05 18:42:20,1.08,0.970
2025-04-05 18:42:21,1.08,0.970
2025-04-05 18:42:22,0.831,0.970
2025-04-05 18:42:23,0.831,0.650
2025-04-05 18:42:24,0.831,0.650
2025-04-05 18:42:25,0.831,0.140
2025-04-05 18:42:26,0.288,0.147
2025-04-05 18:42:27,0.303,0.154
2025-04-05 18:42:28,0.318,0.206
2025-04-05 18:42:29,0.332,0.206
2025-04-05 18:42:30,0.347,0.206
2025-04-05 18:42:31,0.440,0.206
2025-04-05 18:42:32,0.440,0.206
2025-04-05 18:42:33,0.346,0.206
2025-04-05 18:42:34,0.331,0.206
2025-04-05 18:42:35,0.317,0.104
2025-04-05 18:42:36,0.302,0.104
2025-04-05 18:42:37,0.287,0.104
2025-04-05 18:42:38,0.174,0.104
2025-04-05 18:42:39,0.174,0.104
2025-04-05 18:42:40,0.174,0.104
2025-04-05 18:42:41,0.174,0.00110
2025-04-05 18:42:42,0.00134,0.00110
2025-04-05 18:42:43,0.00134,0.00110
2025-04-05 18:42:44,0.00134,0.00110
2025-04-05 18:42:45,0.00134,0.00110
2025-04-05 18:42:46,0.00134,0.00114
2025-04-05 18:42:47,0.00134,0.00114
2025-04-05 18:42:48,0.00134,0.00114
2025-04-05 18:42:49,0.00134,0.00114
2025-04-05 18:42:50,0.00134,0.00114
2025-04-05 18:42:51,0.00134,0.00114
2025-04-05 18:42:52,,0.00114
2025-04-05 18:42:53,,0.00118
2025-04-05 18:42:54,,0.00118
2025-04-05 18:42:55,,0.00118
2025-04-05 18:42:56,,0.00118
2025-04-05 18:42:57,,0.00118
2025-04-05 18:42:58,,0.000903
2025-04-05 18:42:59,,0.000864
2025-04-05 18:43:00,,0.00119
2025-04-05 18:43:01,,0.00119
2025-04-05 18:43:02,,0.00119
2025-04-05 18:43:03,,0.00119
2025-04-05 18:43:04,,0.00119
2025-04-05 18:43:05,,0.00120
2025-04-05 18:43:06,,0.00120
2025-04-05 18:43:07,,0.00120
2025-04-05 18:43:08,,0.00120
2025-04-05 18:43:09,,0.00120
2025-04-05 18:43:10,,0.00120
2025-04-05 18:43:11,,0.00120
2025-04-05 18:43:12,,0.00120
2025-04-05 18:43:13,,0.00120
2025-04-05 18:43:14,,0.00120
2025-04-05 18:43:15,,0.000839
2025-04-05 18:43:17,,0.00134
2025-04-05 18:43:18,,0.00134
2025-04-05 18:43:19,,0.00134
2025-04-05 18:43:20,,0.00134
2025-04-05 18:43:21,,0.00134
2025-04-05 18:43:22,,0.00134
2025-04-05 18:43:23,,0.00134
2025-04-05 18:43:24,,0.00134
2025-04-05 18:43:25,,0.00134
2025-04-05 18:43:26,,0.00134
2025-04-05 18:43:27,,0.00134
2025-04-05 18:43:28,,0.00134
2025-04-05 18:43:29,,0.00134
2025-04-05 18:43:31,,0.00125
2025-04-05 18:43:32,,0.00125
2025-04-05 18:43:33,,0.00125
2025-04-05 18:43:34,,0.00125
2025-04-05 18:43:35,,0.00125
2025-04-05 18:43:36,,0.00125
2025-04-05 18:43:37,,0.00125
2025-04-05 18:43:38,,0.00125
2025-04-05 18:43:39,,0.00125
2025-04-05 18:43:40,,0.00125
2025-04-05 18:43:41,,0.00125
2025-04-05 18:43:42,,0.00125
2025-04-05 18:43:43,,0.00125
2025-04-05 18:43:44,,0.00125
2025-04-05 18:43:45,,0.00125
2025-04-05 18:43:46,,0.00125
2025-04-05 18:43:50,,0.00130
2025-04-05 18:43:51,,0.00130
