Time,reducirimagen-755894457-zhvt9
2025-07-08 23:14:00,199.0MB
2025-07-08 23:14:30,199.0MB
2025-07-08 23:15:00,199.0MB
2025-07-08 23:15:30,199.0MB
2025-07-08 23:16:00,199.0MB
2025-07-08 23:16:30,199.0MB
2025-07-08 23:17:00,199.83MB
2025-07-08 23:17:30,200.0MB
2025-07-08 23:18:00,199.5MB
2025-07-08 23:18:30,200.0MB
2025-07-08 23:19:00,200.0MB
2025-07-08 23:19:30,200.0MB
2025-07-08 23:20:00,200.0MB
2025-07-08 23:20:30,200.0MB
2025-07-08 23:21:00,200.0MB
2025-07-08 23:21:30,200.0MB
2025-07-08 23:22:00,200.0MB
2025-07-08 23:22:30,200.0MB
2025-07-08 23:23:00,200.0MB
2025-07-08 23:23:30,200.0MB
2025-07-08 23:24:00,200.0MB
2025-07-08 23:24:30,200.0MB
2025-07-08 23:25:00,200.0MB
2025-07-08 23:25:30,200.0MB
2025-07-08 23:26:00,200.0MB
2025-07-08 23:26:30,200.0MB
2025-07-08 23:27:00,200.0MB
2025-07-08 23:27:30,200.0MB
2025-07-08 23:28:00,200.0MB
2025-07-08 23:28:30,200.0MB
2025-07-08 23:29:00,200.0MB
2025-07-08 23:29:30,200.0MB
2025-07-08 23:30:00,200.0MB
2025-07-08 23:30:30,200.5MB
2025-07-08 23:31:00,200.0MB
2025-07-08 23:31:30,201.0MB
2025-07-08 23:32:00,200.17MB
2025-07-08 23:32:30,200.0MB
2025-07-08 23:33:00,200.0MB
2025-07-08 23:33:30,200.0MB
2025-07-08 23:34:00,200.0MB
2025-07-08 23:34:30,200.0MB
2025-07-08 23:35:00,200.0MB
2025-07-08 23:35:30,200.0MB
2025-07-08 23:36:00,200.0MB
2025-07-08 23:36:30,200.0MB
2025-07-08 23:37:00,200.0MB
2025-07-08 23:37:30,200.0MB
2025-07-08 23:38:00,200.0MB
2025-07-08 23:38:30,200.0MB
2025-07-08 23:39:00,200.0MB
2025-07-08 23:39:30,199.83MB
2025-07-08 23:40:00,199.0MB
2025-07-08 23:40:30,199.67MB
2025-07-08 23:41:00,200.0MB
2025-07-08 23:41:30,199.67MB
2025-07-08 23:42:00,199.0MB
2025-07-08 23:42:30,198.67MB
2025-07-08 23:43:00,198.0MB
2025-07-08 23:43:30,198.5MB
2025-07-08 23:44:00,198.0MB
2025-07-08 23:44:30,198.0MB
2025-07-08 23:45:00,198.0MB
2025-07-08 23:45:30,197.67MB
2025-07-08 23:46:00,197.0MB
2025-07-08 23:46:30,197.0MB
2025-07-08 23:47:00,196.5MB
2025-07-08 23:47:30,196.83MB
2025-07-08 23:48:00,196.0MB
2025-07-08 23:48:30,196.0MB
2025-07-08 23:49:00,196.0MB
2025-07-08 23:49:30,196.0MB
2025-07-08 23:50:00,196.0MB
2025-07-08 23:50:30,195.67MB
2025-07-08 23:51:00,195.0MB
2025-07-08 23:51:30,195.0MB
2025-07-08 23:52:00,195.0MB
2025-07-08 23:52:30,195.0MB
2025-07-08 23:53:00,195.0MB
2025-07-08 23:53:30,195.0MB
2025-07-08 23:54:00,195.0MB
2025-07-08 23:54:30,195.0MB
2025-07-08 23:55:00,195.0MB
2025-07-08 23:55:30,195.0MB
2025-07-08 23:56:00,195.0MB
2025-07-08 23:56:30,195.0MB
2025-07-08 23:57:00,195.0MB
2025-07-08 23:57:30,195.0MB
2025-07-08 23:58:00,195.0MB
2025-07-08 23:58:30,195.0MB
2025-07-08 23:59:00,195.0MB
2025-07-08 23:59:30,195.0MB
2025-07-09 00:00:00,195.0MB
2025-07-09 00:00:30,195.0MB
2025-07-09 00:01:00,195.0MB
2025-07-09 00:01:30,195.0MB
2025-07-09 00:02:00,195.0MB
2025-07-09 00:02:30,195.0MB
2025-07-09 00:03:00,195.0MB
2025-07-09 00:03:30,195.0MB
2025-07-09 00:04:00,195.0MB
2025-07-09 00:04:30,195.0MB
2025-07-09 00:05:00,195.0MB
2025-07-09 00:05:30,195.0MB
2025-07-09 00:06:00,195.0MB
2025-07-09 00:06:30,195.0MB
2025-07-09 00:07:00,195.0MB
2025-07-09 00:07:30,195.0MB
2025-07-09 00:08:00,195.0MB
2025-07-09 00:08:30,195.0MB
2025-07-09 00:09:00,195.0MB
2025-07-09 00:09:30,195.0MB
2025-07-09 00:10:00,195.0MB
2025-07-09 00:10:30,195.0MB
2025-07-09 00:11:00,195.0MB
2025-07-09 00:11:30,195.0MB
2025-07-09 00:12:00,195.0MB
2025-07-09 00:12:30,195.0MB
2025-07-09 00:13:00,195.0MB
2025-07-09 00:13:30,195.0MB
2025-07-09 00:14:00,195.0MB
