Time,reducirimagen-755894457-zhvt9
2025-07-01 14:50:00,204.0MB
2025-07-01 14:50:30,204.0MB
2025-07-01 14:51:00,204.0MB
2025-07-01 14:51:30,204.0MB
2025-07-01 14:52:00,204.0MB
2025-07-01 14:52:30,204.0MB
2025-07-01 14:53:00,204.0MB
2025-07-01 14:53:30,204.0MB
2025-07-01 14:54:00,204.0MB
2025-07-01 14:54:30,204.0MB
2025-07-01 14:55:00,204.0MB
2025-07-01 14:55:30,204.0MB
2025-07-01 14:56:00,204.0MB
2025-07-01 14:56:30,204.0MB
2025-07-01 14:57:00,204.0MB
2025-07-01 14:57:30,204.0MB
2025-07-01 14:58:00,204.0MB
2025-07-01 14:58:30,203.67MB
2025-07-01 14:59:00,203.0MB
2025-07-01 14:59:30,203.0MB
2025-07-01 15:00:00,197.0MB
2025-07-01 15:00:30,193.0MB
2025-07-01 15:01:00,193.0MB
2025-07-01 15:01:30,193.5MB
2025-07-01 15:02:00,194.0MB
2025-07-01 15:02:30,194.0MB
2025-07-01 15:03:00,194.0MB
2025-07-01 15:03:30,194.0MB
2025-07-01 15:04:00,194.0MB
2025-07-01 15:04:30,194.17MB
2025-07-01 15:05:00,195.0MB
2025-07-01 15:05:30,195.0MB
2025-07-01 15:06:00,195.0MB
2025-07-01 15:06:30,195.0MB
2025-07-01 15:07:00,195.0MB
2025-07-01 15:07:30,195.0MB
2025-07-01 15:08:00,195.0MB
2025-07-01 15:08:30,195.0MB
2025-07-01 15:09:00,195.0MB
2025-07-01 15:09:30,195.0MB
2025-07-01 15:10:00,195.0MB
2025-07-01 15:10:30,195.0MB
2025-07-01 15:11:00,195.0MB
2025-07-01 15:11:30,195.0MB
2025-07-01 15:12:00,195.0MB
2025-07-01 15:12:30,195.0MB
2025-07-01 15:13:00,195.0MB
2025-07-01 15:13:30,195.0MB
2025-07-01 15:14:00,195.0MB
2025-07-01 15:14:30,195.83MB
2025-07-01 15:15:00,196.0MB
2025-07-01 15:15:30,196.0MB
2025-07-01 15:16:00,196.0MB
2025-07-01 15:16:30,196.0MB
2025-07-01 15:17:00,196.0MB
2025-07-01 15:17:30,196.0MB
2025-07-01 15:18:00,196.0MB
2025-07-01 15:18:30,196.0MB
2025-07-01 15:19:00,196.0MB
2025-07-01 15:19:30,196.0MB
2025-07-01 15:20:00,196.0MB
2025-07-01 15:20:30,196.0MB
2025-07-01 15:21:00,196.0MB
2025-07-01 15:21:30,196.0MB
2025-07-01 15:22:00,196.0MB
2025-07-01 15:22:30,196.0MB
2025-07-01 15:23:00,196.0MB
2025-07-01 15:23:30,196.0MB
2025-07-01 15:24:00,196.0MB
2025-07-01 15:24:30,196.0MB
2025-07-01 15:25:00,196.0MB
2025-07-01 15:25:30,196.0MB
2025-07-01 15:26:00,196.0MB
2025-07-01 15:26:30,196.33MB
2025-07-01 15:27:00,196.83MB
2025-07-01 15:27:30,196.0MB
2025-07-01 15:28:00,196.0MB
2025-07-01 15:28:30,196.0MB
2025-07-01 15:29:00,196.0MB
2025-07-01 15:29:30,196.0MB
2025-07-01 15:30:00,196.0MB
2025-07-01 15:30:30,196.67MB
2025-07-01 15:31:00,197.0MB
2025-07-01 15:31:30,196.0MB
2025-07-01 15:32:00,196.0MB
2025-07-01 15:32:30,196.0MB
2025-07-01 15:33:00,196.33MB
2025-07-01 15:33:30,196.0MB
2025-07-01 15:34:00,196.83MB
2025-07-01 15:34:30,196.33MB
2025-07-01 15:35:00,196.0MB
2025-07-01 15:35:30,196.0MB
2025-07-01 15:36:00,196.0MB
2025-07-01 15:36:30,196.0MB
2025-07-01 15:37:00,196.0MB
2025-07-01 15:37:30,195.67MB
2025-07-01 15:38:00,196.0MB
2025-07-01 15:38:30,196.0MB
2025-07-01 15:39:00,196.0MB
2025-07-01 15:39:30,196.0MB
2025-07-01 15:40:00,196.0MB
2025-07-01 15:40:30,196.0MB
2025-07-01 15:41:00,196.0MB
2025-07-01 15:41:30,196.0MB
2025-07-01 15:42:00,196.0MB
2025-07-01 15:42:30,196.0MB
2025-07-01 15:43:00,195.0MB
2025-07-01 15:43:30,195.83MB
2025-07-01 15:44:00,196.0MB
2025-07-01 15:44:30,195.83MB
2025-07-01 15:45:00,195.0MB
2025-07-01 15:45:30,195.0MB
2025-07-01 15:46:00,195.0MB
2025-07-01 15:46:30,194.83MB
2025-07-01 15:47:00,194.5MB
2025-07-01 15:47:30,194.0MB
2025-07-01 15:48:00,194.0MB
2025-07-01 15:48:30,194.0MB
2025-07-01 15:49:00,194.0MB
2025-07-01 15:49:30,194.0MB
2025-07-01 15:50:00,194.0MB
