0.159,0.073,0.071,0.096,0.079,0.065,0.069
0.032,0.098,0.059,0.068,0.062,0.067,0.021
0.025,0.059,0.100,0.000,0.066,0.087,0.021
0.064,0.000,0.076,0.000,0.089,0.071,0.043
0.080,0.043,0.105,0.067,0.019,0.020,0.033
0.083,0.088,0.072,0.068,0.028,0.020,0.063
0.065,0.071,0.074,0.092,0.072,0.023,0.091
0.075,0.067,0.040,0.063,0.063,0.091,0.063
0.083,0.084,0.000,0.088,0.075,0.059,0.066
0.000,0.089,0.094,0.070,0.063,0.087,0.069
0.022,0.086,0.066,0.081,0.081,0.094,0.063
0.059,0.023,0.069,0.000,0.076,0.091,0.071
0.092,0.019,0.075,0.047,0.092,0.075,0.042
0.067,0.068,0.098,0.078,0.000,0.071,0.022
0.070,0.095,0.065,0.061,0.021,0.000,0.022
0.067,0.075,0.098,0.100,0.042,0.039,0.082
0.069,0.082,0.000,0.071,0.071,0.085,0.064
0.067,0.072,0.020,0.065,0.079,0.090,0.059
0.058,0.061,0.100,0.085,0.068,0.064,0.075
0.022,0.074,0.072,0.044,0.067,0.061,0.061
0.067,0.017,0.097,0.000,0.066,0.070,0.086
0.091,0.020,0.065,0.052,0.070,0.081,0.063
0.092,0.077,0.095,0.066,0.047,0.096,0.042
0.065,0.093,0.070,0.092,0.031,0.021,0.000
0.078,0.098,0.068,0.065,0.094,0.000,0.020
0.067,0.072,0.000,0.072,0.068,0.050,0.069
0.089,0.062,0.071,0.075,0.114,0.063,0.086
0.000,0.069,0.073,0.096,0.083,0.087,0.063
0.000,0.063,0.069,0.022,0.065,0.069,0.071
0.087,0.022,0.066,0.020,0.083,0.064,0.079
0.067,0.027,0.083,0.048,0.064,0.091,0.066
0.087,0.068,0.089,0.088,0.000,0.063,0.061
0.067,0.066,0.065,0.076,0.000,0.066,0.064
0.069,0.097,0.022,0.070,0.338,0.045,0.000
0.076,0.065,0.018,0.079,0.120,0.000,0.019
0.087,0.062,0.022,0.073,0.114,0.063,0.065
0.023,0.084,0.071,0.070,0.073,0.100,0.070
0.000,0.092,0.094,0.027,0.061,0.063,0.081
0.102,0.027,0.088,0.028,0.020,0.067,0.077
0.073,0.000,0.067,0.066,0.000,0.068,0.082
0.072,0.087,0.071,0.091,0.088,0.089,0.066
0.113,0.093,0.108,0.068,0.073,0.063,0.077
0.066,0.072,0.000,0.063,0.069,0.069,0.059
0.067,0.087,0.043,0.077,0.081,0.022,0.019
0.021,0.075,0.063,0.090,0.062,0.000,0.022
0.000,0.064,0.091,0.073,0.066,0.072,0.086
0.050,0.089,0.069,0.019,0.074,0.063,0.066
0.092,0.049,0.069,0.000,0.000,0.070,0.064
0.069,0.000,0.104,0.071,0.043,0.074,0.067
0.084,0.043,0.082,0.071,0.067,0.091,0.061
0.070,0.086,0.067,0.071,0.086,0.067,0.066
0.077,0.069,0.097,0.086,0.069,0.087,0.074
0.107,0.067,0.081,0.071,0.069,0.000,0.021
0.000,0.102,0.000,0.083,0.083,0.052,0.019
0.021,0.079,0.030,0.088,0.071,0.078,0.021
0.068,0.073,0.090,0.000,0.080,0.060,0.082
0.070,0.033,0.066,0.020,0.024,0.088,0.083
0.064,0.019,0.094,0.072,0.000,0.067,0.059
0.064,0.054,0.090,0.061,0.084,0.064,0.089
0.088,0.067,0.092,0.092,0.080,0.133,0.062
0.083,0.064,0.066,0.066,0.062,0.022,0.069
0.088,0.066,0.041,0.085,0.067,0.000,0.090
0.021,0.092,0.000,0.105,0.084,0.122,0.043
0.041,0.075,0.043,0.086,0.068,0.080,0.000
0.068,0.063,0.067,0.000,0.071,0.096,0.074
0.072,0.074,0.095,0.046,0.048,0.116,0.075
0.065,0.021,0.074,0.068,0.022,0.070,0.093
0.091,0.032,0.074,0.067,0.082,0.048,0.062
0.105,0.073,0.093,0.081,0.069,0.063,0.073
0.082,0.063,0.071,0.090,0.066,0.095,0.086
0.066,0.067,0.064,0.106,0.066,0.085,0.073
0.022,0.076,0.000,0.061,0.066,0.089,0.068
0.024,0.090,0.048,0.063,0.083,0.059,0.023
0.082,0.091,0.098,0.019,0.074,0.064,0.022
0.068,0.066,0.066,0.032,0.043,0.039,0.036
0.092,0.020,0.070,0.069,0.000,0.000,0.067
0.130,0.023,0.070,0.087,0.025,0.063,0.084
0.085,0.069,0.070,0.107,0.107,0.081,0.071
0.071,0.060,0.092,0.079,0.067,0.086,0.062
0.044,0.066,0.071,0.085,0.066,0.063,0.067
0.020,0.088,0.000,0.070,0.061,0.070,0.079
0.000,0.072,0.044,0.051,0.079,0.071,0.067
0.071,0.071,0.074,0.000,0.086,0.064,0.040
0.099,0.062,0.092,0.067,0.022,0.044,0.000
0.068,0.000,0.074,0.064,0.000,0.020,0.063
0.074,0.000,0.070,0.069,0.087,0.021,0.065
0.095,0.058,0.071,0.072,0.354,0.070,0.086
0.089,0.095,0.093,0.073,0.106,0.079,0.092
0.069,0.066,0.067,0.076,0.030,0.063,0.060
0.000,0.074,0.025,0.083,0.000,0.091,0.077
0.000,0.084,0.021,0.021,0.063,0.086,0.079
0.072,0.103,0.084,0.041,0.071,0.064,0.043
0.062,0.071,0.104,0.070,0.068,0.064,0.000
0.072,0.000,0.102,0.063,0.087,0.019,0.020
0.096,0.020,0.093,0.075,0.086,0.000,0.100
0.075,0.079,0.094,0.072,0.073,0.075,0.066
0.097,0.070,0.069,0.074,0.076,0.083,0.058
0.038,0.065,0.064,0.067,0.066,0.073,0.090
0.023,0.103,0.028,0.060,0.019,0.093,0.072
0.000,0.078,0.105,0.000,0.024,0.063,0.067
0.069,0.071,0.061,0.051,0.067,0.069,0.091
0.071,0.079,0.074,0.074,0.079,0.065,0.028
0.062,0.000,0.072,0.070,0.074,0.083,0.021
0.084,0.020,0.079,0.075,0.069,0.000,0.042
0.069,0.075,0.085,0.104,0.095,0.024,0.066
0.074,0.096,0.061,0.081,0.070,0.069,0.064
0.084,0.068,0.029,0.123,0.071,0.060,0.063
0.000,0.070,0.026,0.048,0.021,0.081,0.088
0.073,0.099,0.050,0.029,0.000,0.065,0.096
0.094,0.068,0.096,0.024,0.077,0.066,0.085
0.064,0.071,0.087,0.088,0.067,0.087,0.098
0.082,0.000,0.092,0.067,0.062,0.067,0.000
0.065,0.000,0.099,0.074,0.071,0.082,0.028
0.072,0.099,0.070,0.071,0.062,0.000,0.080
0.077,0.077,0.091,0.085,0.062,0.000,0.091
0.042,0.057,0.052,0.078,0.095,0.041,0.070
0.023,0.071,0.028,0.045,0.063,0.080,0.067
0.063,0.060,0.050,0.035,0.000,0.071,0.095
0.092,0.090,0.064,0.039,0.000,0.077,0.065
0.062,0.094,0.081,0.069,0.081,0.080,0.064
0.140,0.000,0.000,0.000,0.126,0.130,0.116
