sep=,
"Time","reducirimagen.openfaas-fn"
2025-04-05 18:28:00,0
2025-04-05 18:28:01,0
2025-04-05 18:28:02,0.556
2025-04-05 18:28:03,1.56
2025-04-05 18:28:04,2.67
2025-04-05 18:28:05,3.78
2025-04-05 18:28:06,14.4
2025-04-05 18:28:07,15.4
2025-04-05 18:28:08,16.4
2025-04-05 18:28:09,17.5
2025-04-05 18:28:10,18.7
2025-04-05 18:28:11,19.6
2025-04-05 18:28:12,19.7
2025-04-05 18:28:13,19.7
2025-04-05 18:28:14,19.7
2025-04-05 18:28:15,19.6
2025-04-05 18:28:16,19.6
2025-04-05 18:28:17,19.7
2025-04-05 18:28:18,19.7
2025-04-05 18:28:19,19.6
2025-04-05 18:28:20,19.7
2025-04-05 18:28:21,19.9
2025-04-05 18:28:22,19.9
2025-04-05 18:28:23,19.9
2025-04-05 18:28:24,19.9
2025-04-05 18:28:25,19.9
2025-04-05 18:28:26,19.7
2025-04-05 18:28:27,19.8
2025-04-05 18:28:28,19.7
2025-04-05 18:28:29,19.7
2025-04-05 18:28:30,19.7
2025-04-05 18:28:31,19.9
2025-04-05 18:28:32,20
2025-04-05 18:28:33,19.9
2025-04-05 18:28:34,20
2025-04-05 18:28:35,20
2025-04-05 18:28:36,19.4
2025-04-05 18:28:37,19.5
2025-04-05 18:28:38,19.4
2025-04-05 18:28:39,19.4
2025-04-05 18:28:40,19.2
2025-04-05 18:28:41,18.5
2025-04-05 18:28:42,18.5
2025-04-05 18:28:43,17.5
2025-04-05 18:28:44,16.4
2025-04-05 18:28:45,15.4
2025-04-05 18:28:46,6.71
2025-04-05 18:28:47,5.71
2025-04-05 18:28:48,4.60
2025-04-05 18:28:49,3.71
2025-04-05 18:28:50,2.71
2025-04-05 18:28:51,0.111
2025-04-05 18:28:52,0
2025-04-05 18:28:53,0
2025-04-05 18:28:54,0
2025-04-05 18:28:55,0
2025-04-05 18:28:56,0
2025-04-05 18:28:57,0
2025-04-05 18:28:58,0
2025-04-05 18:28:59,0
2025-04-05 18:29:00,0
2025-04-05 18:29:01,0
2025-04-05 18:29:02,0
2025-04-05 18:29:03,0
2025-04-05 18:29:04,0
2025-04-05 18:29:05,0
2025-04-05 18:29:06,0
2025-04-05 18:29:07,0
2025-04-05 18:29:08,0
2025-04-05 18:29:09,0
2025-04-05 18:29:10,0
2025-04-05 18:29:11,0
2025-04-05 18:29:12,0
2025-04-05 18:29:13,0
2025-04-05 18:29:14,0
2025-04-05 18:29:15,0
2025-04-05 18:29:16,0
2025-04-05 18:29:17,0
2025-04-05 18:29:18,0
2025-04-05 18:29:19,0
2025-04-05 18:29:20,0
2025-04-05 18:29:21,0
2025-04-05 18:29:22,0
2025-04-05 18:29:23,0
2025-04-05 18:29:24,0
2025-04-05 18:29:25,0
2025-04-05 18:29:26,0
2025-04-05 18:29:27,0
2025-04-05 18:29:28,0
2025-04-05 18:29:29,0
2025-04-05 18:29:30,0
2025-04-05 18:29:31,0
2025-04-05 18:29:32,0
2025-04-05 18:29:33,0
2025-04-05 18:29:34,0
2025-04-05 18:29:35,0
2025-04-05 18:29:36,0
2025-04-05 18:29:37,0
2025-04-05 18:29:38,0
2025-04-05 18:29:39,0
2025-04-05 18:29:40,0
2025-04-05 18:29:41,0
2025-04-05 18:29:42,0
2025-04-05 18:29:43,0
2025-04-05 18:29:44,0
2025-04-05 18:29:45,0
2025-04-05 18:29:46,0
2025-04-05 18:29:47,0
2025-04-05 18:29:48,0
2025-04-05 18:29:49,0
2025-04-05 18:29:50,0
2025-04-05 18:29:51,0
2025-04-05 18:29:52,0
2025-04-05 18:29:53,0
2025-04-05 18:29:54,0
2025-04-05 18:29:55,0
2025-04-05 18:29:56,0
2025-04-05 18:29:57,0
2025-04-05 18:29:58,0
2025-04-05 18:29:59,0
2025-04-05 18:30:00,0
2025-04-05 18:30:01,0
2025-04-05 18:30:02,0
2025-04-05 18:30:03,0
2025-04-05 18:30:04,0
2025-04-05 18:30:05,0
2025-04-05 18:30:06,0
2025-04-05 18:30:07,0
2025-04-05 18:30:08,0
2025-04-05 18:30:09,0
2025-04-05 18:30:10,0
2025-04-05 18:30:11,0
2025-04-05 18:30:12,0
2025-04-05 18:30:13,0
2025-04-05 18:30:14,0
2025-04-05 18:30:15,0
2025-04-05 18:30:16,0
2025-04-05 18:30:17,0
2025-04-05 18:30:18,0
2025-04-05 18:30:19,0
2025-04-05 18:30:20,0
2025-04-05 18:30:21,0
2025-04-05 18:30:22,0
2025-04-05 18:30:23,0
2025-04-05 18:30:24,0
2025-04-05 18:30:25,0
2025-04-05 18:30:26,0
2025-04-05 18:30:27,0
2025-04-05 18:30:28,0
2025-04-05 18:30:29,0
2025-04-05 18:30:30,0
2025-04-05 18:30:31,0
2025-04-05 18:30:32,0
2025-04-05 18:30:33,0
2025-04-05 18:30:34,0
2025-04-05 18:30:35,0
2025-04-05 18:30:36,0
2025-04-05 18:30:37,0
2025-04-05 18:30:38,0
2025-04-05 18:30:39,0
2025-04-05 18:30:40,0
2025-04-05 18:30:41,0
2025-04-05 18:30:42,0
2025-04-05 18:30:43,0
2025-04-05 18:30:44,0
2025-04-05 18:30:45,0
2025-04-05 18:30:46,0
2025-04-05 18:30:47,0
2025-04-05 18:30:48,0
2025-04-05 18:30:49,0
2025-04-05 18:30:50,0
2025-04-05 18:30:51,0
2025-04-05 18:30:52,0
2025-04-05 18:30:53,0
2025-04-05 18:30:54,0
2025-04-05 18:30:55,0
2025-04-05 18:30:56,0
2025-04-05 18:30:57,0
2025-04-05 18:30:58,0
2025-04-05 18:30:59,0
2025-04-05 18:31:00,0
2025-04-05 18:31:01,0
2025-04-05 18:31:02,0
2025-04-05 18:31:03,0
2025-04-05 18:31:04,0
2025-04-05 18:31:05,0
2025-04-05 18:31:06,0
2025-04-05 18:31:07,0
2025-04-05 18:31:08,0
2025-04-05 18:31:09,0
2025-04-05 18:31:10,0
2025-04-05 18:31:11,0
2025-04-05 18:31:12,0
2025-04-05 18:31:13,0
2025-04-05 18:31:14,0
2025-04-05 18:31:15,0
2025-04-05 18:31:16,0
2025-04-05 18:31:17,0
2025-04-05 18:31:18,0
2025-04-05 18:31:19,0
2025-04-05 18:31:20,0
2025-04-05 18:31:21,0
2025-04-05 18:31:22,0
2025-04-05 18:31:23,0
2025-04-05 18:31:24,0
2025-04-05 18:31:25,0
2025-04-05 18:31:26,0
2025-04-05 18:31:27,0
2025-04-05 18:31:28,0
2025-04-05 18:31:29,0
2025-04-05 18:31:30,0
2025-04-05 18:31:31,0
2025-04-05 18:31:32,0
2025-04-05 18:31:33,0
2025-04-05 18:31:34,0
2025-04-05 18:31:35,0
2025-04-05 18:31:36,0
2025-04-05 18:31:37,0
2025-04-05 18:31:38,0
2025-04-05 18:31:39,0
2025-04-05 18:31:40,0
2025-04-05 18:31:41,0
2025-04-05 18:31:42,0
2025-04-05 18:31:43,0
2025-04-05 18:31:44,0
2025-04-05 18:31:45,0
2025-04-05 18:31:46,0
2025-04-05 18:31:47,0
2025-04-05 18:31:48,0
2025-04-05 18:31:49,0
2025-04-05 18:31:50,0
2025-04-05 18:31:51,0
2025-04-05 18:31:52,0
2025-04-05 18:31:53,0
2025-04-05 18:31:54,0
2025-04-05 18:31:55,0
2025-04-05 18:31:56,0
2025-04-05 18:31:57,0
2025-04-05 18:31:58,0
2025-04-05 18:31:59,0
2025-04-05 18:32:00,0
2025-04-05 18:32:01,0
2025-04-05 18:32:02,0
2025-04-05 18:32:03,0
2025-04-05 18:32:04,0
2025-04-05 18:32:05,0
2025-04-05 18:32:06,0
2025-04-05 18:32:07,0
2025-04-05 18:32:08,0
2025-04-05 18:32:09,0
2025-04-05 18:32:10,0
2025-04-05 18:32:11,0
2025-04-05 18:32:12,0
2025-04-05 18:32:13,0
2025-04-05 18:32:14,0
2025-04-05 18:32:15,0
2025-04-05 18:32:16,0
2025-04-05 18:32:17,0
2025-04-05 18:32:18,0
2025-04-05 18:32:19,0
2025-04-05 18:32:20,0
2025-04-05 18:32:21,0
2025-04-05 18:32:22,0
2025-04-05 18:32:23,0
2025-04-05 18:32:24,0
2025-04-05 18:32:25,0
2025-04-05 18:32:26,0
2025-04-05 18:32:27,0
2025-04-05 18:32:28,0
2025-04-05 18:32:29,0
2025-04-05 18:32:30,0
2025-04-05 18:32:31,0
2025-04-05 18:32:32,0
2025-04-05 18:32:33,0
2025-04-05 18:32:34,0
2025-04-05 18:32:35,0
2025-04-05 18:32:36,0
2025-04-05 18:32:37,0
2025-04-05 18:32:38,0
2025-04-05 18:32:39,0
2025-04-05 18:32:40,0
2025-04-05 18:32:41,0
2025-04-05 18:32:42,0
2025-04-05 18:32:43,0
2025-04-05 18:32:44,0
2025-04-05 18:32:45,0
2025-04-05 18:32:46,0
2025-04-05 18:32:47,0
2025-04-05 18:32:48,0
2025-04-05 18:32:49,0
2025-04-05 18:32:50,0.444
2025-04-05 18:32:51,3.82
2025-04-05 18:32:52,4.93
2025-04-05 18:32:53,6.04
2025-04-05 18:32:54,7.27
2025-04-05 18:32:55,8.27
2025-04-05 18:32:56,16.8
2025-04-05 18:32:57,17.9
2025-04-05 18:32:58,19.0
2025-04-05 18:32:59,19.6
2025-04-05 18:33:00,19.9
