sep=,
"Time","reducirimagen-755894457-pjpf9","reducirimagen-755894457-zhvt9"
2025-04-05 19:53:00,,222 MB
2025-04-05 19:53:01,,222 MB
2025-04-05 19:53:02,,222 MB
2025-04-05 19:53:03,,222 MB
2025-04-05 19:53:04,,222 MB
2025-04-05 19:53:05,,222 MB
2025-04-05 19:53:06,,222 MB
2025-04-05 19:53:07,,222 MB
2025-04-05 19:53:08,,222 MB
2025-04-05 19:53:09,,222 MB
2025-04-05 19:53:10,,224 MB
2025-04-05 19:53:11,,224 MB
2025-04-05 19:53:12,,224 MB
2025-04-05 19:53:13,,224 MB
2025-04-05 19:53:14,,224 MB
2025-04-05 19:53:15,,224 MB
2025-04-05 19:53:16,,224 MB
2025-04-05 19:53:17,,224 MB
2025-04-05 19:53:18,,224 MB
2025-04-05 19:53:19,,224 MB
2025-04-05 19:53:20,,224 MB
2025-04-05 19:53:21,,224 MB
2025-04-05 19:53:22,,224 MB
2025-04-05 19:53:23,,224 MB
2025-04-05 19:53:24,,224 MB
2025-04-05 19:53:25,,224 MB
2025-04-05 19:53:26,,224 MB
2025-04-05 19:53:27,,224 MB
2025-04-05 19:53:28,,224 MB
2025-04-05 19:53:29,,224 MB
2025-04-05 19:53:30,,224 MB
2025-04-05 19:53:31,,224 MB
2025-04-05 19:53:32,,224 MB
2025-04-05 19:53:33,,224 MB
2025-04-05 19:53:34,,224 MB
2025-04-05 19:53:35,,224 MB
2025-04-05 19:53:36,,224 MB
2025-04-05 19:53:37,,224 MB
2025-04-05 19:53:38,0 B,224 MB
2025-04-05 19:53:39,0 B,224 MB
2025-04-05 19:53:40,0 B,224 MB
2025-04-05 19:53:41,0 B,224 MB
2025-04-05 19:53:42,0 B,224 MB
2025-04-05 19:53:43,0 B,224 MB
2025-04-05 19:53:44,0 B,224 MB
2025-04-05 19:53:45,0 B,224 MB
2025-04-05 19:53:46,0 B,224 MB
2025-04-05 19:53:47,0 B,224 MB
2025-04-05 19:53:48,23.5 MB,224 MB
2025-04-05 19:53:49,23.5 MB,224 MB
2025-04-05 19:53:50,23.5 MB,224 MB
2025-04-05 19:53:51,23.5 MB,224 MB
2025-04-05 19:53:52,23.5 MB,224 MB
2025-04-05 19:53:53,23.5 MB,224 MB
2025-04-05 19:53:54,23.5 MB,224 MB
2025-04-05 19:53:55,23.5 MB,224 MB
2025-04-05 19:53:56,23.5 MB,224 MB
2025-04-05 19:53:57,23.5 MB,224 MB
2025-04-05 19:53:58,23.5 MB,224 MB
2025-04-05 19:53:59,23.5 MB,224 MB
2025-04-05 19:54:00,23.6 MB,224 MB
2025-04-05 19:54:01,23.6 MB,224 MB
2025-04-05 19:54:02,23.6 MB,224 MB
2025-04-05 19:54:03,23.6 MB,224 MB
2025-04-05 19:54:04,23.6 MB,224 MB
2025-04-05 19:54:05,23.6 MB,224 MB
2025-04-05 19:54:06,23.6 MB,224 MB
2025-04-05 19:54:07,23.6 MB,224 MB
2025-04-05 19:54:08,23.6 MB,224 MB
2025-04-05 19:54:09,23.6 MB,224 MB
2025-04-05 19:54:10,23.6 MB,224 MB
2025-04-05 19:54:11,23.6 MB,224 MB
2025-04-05 19:54:12,23.6 MB,224 MB
2025-04-05 19:54:13,23.6 MB,224 MB
2025-04-05 19:54:14,23.6 MB,224 MB
2025-04-05 19:54:15,23.6 MB,224 MB
2025-04-05 19:54:16,23.6 MB,224 MB
2025-04-05 19:54:17,23.6 MB,224 MB
2025-04-05 19:54:18,23.6 MB,224 MB
2025-04-05 19:54:19,23.6 MB,224 MB
2025-04-05 19:54:20,23.6 MB,224 MB
2025-04-05 19:54:21,23.6 MB,224 MB
2025-04-05 19:54:22,23.6 MB,224 MB
